frame_index,stamp_sec
0,1782752753.7139347
1,1782752753.746305
2,1782752753.7850454
3,1782752753.8301954
4,1782752753.8827353
5,1782752753.9134562
6,1782752753.9456377
7,1782752753.98029
8,1782752754.012134
9,1782752754.0476022
10,1782752754.094782
11,1782752754.1245773
12,1782752754.1560209
13,1782752754.2138531
14,1782752754.246279
15,1782752754.2969537
16,1782752754.3555412
17,1782752754.3888116
18,1782752754.4246943
19,1782752754.480288
20,1782752754.5130942
21,1782752754.5467105
22,1782752754.5795372
23,1782752754.6143394
24,1782752754.6557078
25,1782752754.6988041
26,1782752754.7462933
27,1782752754.7798636
28,1782752754.8131752
29,1782752754.848763
30,1782752754.8859644
31,1782752754.9158874
32,1782752754.955516
33,1782752754.9953158
34,1782752755.0236588
35,1782752755.0801156
36,1782752755.1136901
37,1782752755.1468263
38,1782752755.1793191
39,1782752755.2149813
40,1782752755.2597406
41,1782752755.290686
42,1782752755.3462024
43,1782752755.3797264
44,1782752755.4136403
45,1782752755.4459984
46,1782752755.4834297
47,1782752755.5359585
48,1782752755.5887654
49,1782752755.6468897
50,1782752755.679754
51,1782752755.7132273
52,1782752755.748261
53,1782752755.780764
54,1782752755.8221054
55,1782752755.8581412
56,1782752755.8965251
57,1782752755.9466314
58,1782752755.9806483
59,1782752756.0127554
60,1782752756.046756
61,1782752756.0828297
62,1782752756.1393647
63,1782752756.179963
64,1782752756.2136161
65,1782752756.246581
66,1782752756.2801101
67,1782752756.3172843
68,1782752756.3485675
69,1782752756.3832867
70,1782752756.4254344
71,1782752756.4547558
72,1782752756.5133107
73,1782752756.5465405
74,1782752756.5805926
75,1782752756.6128309
76,1782752756.6482885
77,1782752756.6828692
78,1782752756.721626
79,1782752756.755231
80,1782752756.8127706
81,1782752756.8469455
82,1782752756.8799074
83,1782752756.912753
84,1782752756.953037
85,1782752756.985784
86,1782752757.0255237
87,1782752757.0678678
88,1782752757.1126704
89,1782752757.1470041
90,1782752757.188033
91,1782752757.2223918
92,1782752757.2550757
93,1782752757.2894297
94,1782752757.3459892
95,1782752757.379731
96,1782752757.4138615
97,1782752757.4463449
98,1782752757.4902382
99,1782752757.5573657
100,1782752757.6128144
101,1782752757.646865
102,1782752757.6808453
103,1782752757.7130785
104,1782752757.7482312
105,1782752757.78304
106,1782752757.8420432
107,1782752757.8800638
108,1782752757.9135058
109,1782752757.9467294
110,1782752757.9799175
111,1782752758.012972
112,1782752758.055596
113,1782752758.0838428
114,1782752758.1238763
115,1782752758.1796217
116,1782752758.2131991
117,1782752758.2466416
118,1782752758.2835836
119,1782752758.3133495
120,1782752758.3614142
121,1782752758.4009533
122,1782752758.4470625
123,1782752758.480027
124,1782752758.5135279
125,1782752758.547157
126,1782752758.5822752
127,1782752758.6249285
128,1782752758.6558096
129,1782752758.6893542
130,1782752758.7242138
131,1782752758.7796283
132,1782752758.8138614
133,1782752758.8467593
134,1782752758.8796992
135,1782752758.9188776
136,1782752758.9585972
137,1782752758.991378
138,1782752759.0228732
139,1782752759.08059
140,1782752759.114649
141,1782752759.1470199
142,1782752759.189709
143,1782752759.216853
144,1782752759.2597196
145,1782752759.2966151
146,1782752759.3461397
147,1782752759.379864
148,1782752759.4134257
149,1782752759.4460971
150,1782752759.4839485
151,1782752759.5161786
152,1782752759.5587394
153,1782752759.5959065
154,1782752759.6480947
155,1782752759.6799302
156,1782752759.7130198
157,1782752759.7486553
158,1782752759.781811
159,1782752759.8181107
160,1782752759.8584085
161,1782752759.9003305
162,1782752759.947685
163,1782752759.9812257
164,1782752760.0139225
165,1782752760.0489712
166,1782752760.0898085
167,1782752760.1260312
168,1782752760.1595824
169,1782752760.196582
170,1782752760.2466269
171,1782752760.2807899
172,1782752760.3131552
173,1782752760.3521612
174,1782752760.3818274
175,1782752760.425747
176,1782752760.4627876
177,1782752760.5132706
