stamp_sec,state,message,requested_mode,tag_id,tag_margin,tag_x_camera_m,tag_y_camera_m,tag_z_camera_m,tag_range_m,tag_bearing_rad,tag_rel_x_m,tag_rel_y_m,tag_rel_z_m,odom_x,odom_y,odom_yaw,odom_rel_x,odom_rel_y,odom_rel_yaw,imu_x,imu_y,imu_z,imu_w,cmd_heading,cmd_lateral,cmd_turning,range_error_m,lateral_error_m,yaw_error_rad,target_reached
1782597904.5394146,TRACKING,Tracking AprilTag,Walk,4,75.24729919433594,-1.0554741495128876,-0.08407303134908979,1.9867184043651047,2.251253866878013,-0.4883457264878797,-0.00019825166747344802,-4.048121875964428e-05,0.0002296954672311724,-0.06294657663665157,1.0116189094424783,-0.9768015230966703,3.2707675286645253e-06,-1.4377659192425989e-06,1.6314752410151456e-06,-0.013488358332597022,0.705972130466741,-0.002014098755546162,0.7081082958135323,0.18,0.12,0.16,1.4867184043651047,-1.0554741495128876,-0.4883457264878797,False
1782597904.5894604,TRACKING,Tracking AprilTag,Walk,4,75.76134490966797,-1.0550847236537333,-0.08411867668039834,1.9859582410463268,2.2504021554010647,-0.4883513901242057,0.00019117419168090954,-8.612655006819125e-05,-0.0005304678515467565,-0.06294795407259231,1.0116137740035898,-0.9768215203025752,6.755653488655323e-06,-5.453439237013083e-06,-1.8365730663827403e-05,-0.013488939528800467,0.705941513982381,-0.0020141855404996172,0.7081388072992897,0.18,0.12,0.16,1.4859582410463268,-1.0550847236537333,-0.4883513901242057,False
1782597904.6394384,TRACKING,Tracking AprilTag,Walk,4,75.40545654296875,-1.0549824573190134,-0.08415781361604578,1.9857137530421525,2.2501399138418585,-0.488362239004695,0.00029344052640079,-0.00012526348571563484,-0.0007749558557210712,-0.06295216709558021,1.0116137495716075,-0.976853865858276,4.417978335147929e-06,-8.958497652368646e-06,-5.07112863646908e-05,-0.013488941161973935,0.7059415994542558,-0.001953149851507538,0.7081388930372018,0.18,0.12,0.16,1.4857137530421525,-1.0549824573190134,-0.488362239004695,False
1782597904.6893985,TRACKING,Tracking AprilTag,Walk,4,75.45945739746094,-1.059379440869936,-0.08495400128185475,1.9936178226273822,2.2592064989215217,-0.48843955706851405,-0.004103543024521761,-0.0009214511515246021,0.00712911372950864,-0.06295883379715157,1.0116167746946352,-0.976890868177348,-1.820162660246604e-06,-1.2790191285144679e-05,-8.771360543669005e-05,-0.013427916259445949,0.7059421793488719,-0.0019531514559194105,0.7081394747367813,0.18,0.12,0.16,1.4936178226273822,-1.059379440869936,-0.48843955706851405,False
1782597904.7394621,TRACKING,Tracking AprilTag,Walk,4,75.56285858154297,-1.0558014228007548,-0.0844146950166064,1.9868956070288188,2.251576478459762,-0.48843722940905626,-0.0005255249553406394,-0.00038214488627624776,0.00040689813094529903,-0.06295539384680997,1.0116125183053029,-0.9769042072154511,3.6324130856980272e-06,-1.232165501571683e-05,-0.00010105264353976738,-0.013427917835209828,0.7059422621910767,-0.0018921156949613849,0.7081395578368382,0.18,0.12,0.16,1.4868956070288188,-1.0558014228007548,-0.48843722940905626,False
1782597904.7893913,TRACKING,Tracking AprilTag,Walk,4,75.80677032470703,-1.055878539208124,-0.08453797157913465,1.9868102872240214,2.251541977316478,-0.48848529037891336,-0.0006026413627098215,-0.0005054214488044995,0.0003215783261478755,-0.06286152895043795,1.0116050873260038,-0.9767710611820695,6.232436256417318e-05,6.130641905041588e-05,3.2093389841891806e-05,-0.013488359739456876,0.705911170798906,-0.001892032361643272,0.7081694029724802,0.18,0.12,0.16,1.4868102872240214,-1.055878539208124,-0.48848529037891336,False
1782597904.8394713,TRACKING,Tracking AprilTag,Walk,4,75.79039001464844,-1.0562960256103318,-0.08460044369669095,1.9877450622153545,2.2525649737921842,-0.48845418371649746,-0.0010201277649175555,-0.0005678935663608053,0.0012563533174809738,-0.06221471650487495,1.0115809732670713,-0.9753564108900122,0.0004443125230636883,0.0005838318948040746,0.0014467436818991208,-0.013794072341560711,0.7059391181526159,-0.0015869286764627366,0.7081364040123335,0.18,0.12,0.16,1.4877450622153545,-1.0562960256103318,-0.48845418371649746,False
1782597904.889384,TRACKING,Tracking AprilTag,Walk,4,75.94296264648438,-1.0501919187756303,-0.08363669501998239,1.9833450026494905,2.2457861791698277,-0.48697237747494276,0.005083979069783862,0.0003958551103477592,-0.0031437062483830047,-0.060415393834464544,1.01126618263595,-0.9700603085461439,0.001712218744656833,0.00189877258812071,0.006742846025767468,-0.016113578089988225,0.7057014768047116,-6.103628064389479e-05,0.7083260368723991,0.18,0.12,0.16,1.4833450026494905,-1.0501919187756303,-0.48697237747494276,False
1782597904.9393897,TRACKING,Tracking AprilTag,Walk,4,75.70823669433594,-1.0465251288144228,-0.08203310044286935,1.990593631990434,2.2504238006493757,-0.4840231672063024,0.008750769030991368,0.001999449687460797,0.004104923092560497,-0.05768675174288535,1.0103269627520168,-0.9617532502333127,0.004017713778374156,0.003634374588527976,0.01504990433859865,-0.018860043110364967,0.705084847931832,0.0020752150995223587,0.7088690637015493,0.18,0.12,0.16,1.490593631990434,-1.0465251288144228,-0.4840231672063024,False
1782597904.9895747,TRACKING,Tracking AprilTag,Walk,4,77.02267456054688,-1.017697203669555,-0.07823876648646964,1.9938629325251571,2.2399371189022195,-0.47194471420119255,0.03757869417585913,0.005793783643860503,0.0073742236272835715,-0.054526854102908445,1.0094870267063711,-0.9542398164299062,0.006482293868430146,0.005782930065029841,0.022563338142005177,-0.02142300058732028,0.7051279936903453,0.006225487350161449,0.7087290108830857,0.18,0.12,0.16,1.4938629325251571,-1.017697203669555,-0.47194471420119255,False
