frame_index,stamp_sec
0,1784751208.465637
1,1784751208.5712636
2,1784751208.679684
3,1784751208.7799232
4,1784751208.8879042
5,1784751208.9549868
6,1784751208.9832916
7,1784751209.0105882
8,1784751209.0387435
9,1784751209.066995
10,1784751209.0946305
11,1784751209.1403978
12,1784751209.168102
13,1784751209.2035222
14,1784751209.286419
15,1784751209.392114
16,1784751209.4928043
17,1784751209.6016326
18,1784751209.678553
19,1784751209.70829
20,1784751209.7783015
21,1784751209.8760786
22,1784751209.9818156
23,1784751210.091663
24,1784751210.1678371
25,1784751210.1959522
26,1784751210.2241926
27,1784751210.2527578
28,1784751210.2884066
29,1784751210.3745139
30,1784751210.4747171
31,1784751210.5853949
32,1784751210.67805
33,1784751210.7800448
34,1784751210.8793025
35,1784751210.976717
36,1784751211.0665648
37,1784751211.1631365
38,1784751211.254662
39,1784751211.3453915
40,1784751211.4576886
41,1784751211.5534005
42,1784751211.6498065
43,1784751211.7531004
44,1784751211.8563714
45,1784751211.95928
46,1784751212.0641656
47,1784751212.161551
48,1784751212.2539682
49,1784751212.3591373
50,1784751212.4574847
51,1784751212.5776649
52,1784751212.6781144
53,1784751212.7856822
54,1784751212.898863
55,1784751212.9936793
56,1784751213.1025972
57,1784751213.2036824
58,1784751213.3093524
59,1784751213.4113023
60,1784751213.5283875
61,1784751213.6317625
62,1784751213.7387152
63,1784751213.8366647
64,1784751213.948769
65,1784751214.0563827
66,1784751214.1637108
67,1784751214.2604964
68,1784751214.3702202
69,1784751214.4727378
70,1784751214.5705767
71,1784751214.6763337
72,1784751214.77558
73,1784751214.8803167
74,1784751214.9756107
75,1784751215.076923
76,1784751215.1824203
77,1784751215.2979264
78,1784751215.4004552
79,1784751215.5036209
80,1784751215.6146252
81,1784751215.7182095
82,1784751215.8225932
83,1784751215.9246051
84,1784751216.020754
85,1784751216.125689
86,1784751216.223029
87,1784751216.3307402
88,1784751216.4342525
89,1784751216.5448182
90,1784751216.6483848
91,1784751216.754004
92,1784751216.8628523
93,1784751216.9678817
94,1784751217.0736346
95,1784751217.1752133
96,1784751217.2787225
97,1784751217.3841388
98,1784751217.4930246
99,1784751217.5955482
100,1784751217.66871
101,1784751217.6973476
102,1784751217.7260835
103,1784751217.7792983
104,1784751217.831704
105,1784751217.8770206
106,1784751217.9069037
107,1784751217.9361196
108,1784751217.976801
109,1784751218.0375645
110,1784751218.0699675
111,1784751218.1215956
112,1784751218.149369
113,1784751218.2025237
114,1784751218.2358646
115,1784751218.3098433
116,1784751218.397868
117,1784751218.5074337
118,1784751218.605351
119,1784751218.7037919
120,1784751218.802811
121,1784751218.9046588
122,1784751219.0094674
123,1784751219.1113467
124,1784751219.2095993
125,1784751219.3092434
126,1784751219.4064457
127,1784751219.5032728
128,1784751219.603897
