Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,ux_m,uy_m,uz_m,theta_x_rad,theta_y_rad,theta_z_rad
-0.09800302982330322,-0.09098410606384277,0.10650634765625,-0.005676469799876213,0.001553606241941452,-0.0031036023092269895,0.0,0.0,0.0,0.0,0.0,0.0
-0.09800302982330322,-0.09098410606384277,0.10650634765625,-0.005676469799876213,0.001553606241941452,-0.0031036023092269895,0.00012388844923099404,5.223117644301933e-05,-0.00033263010880690293,-0.008166471053401653,0.00019701437153162382,-0.002360010386175409
-0.10458338260650635,-0.020709753036499023,0.0214691162109375,-0.0005407482880353927,0.0019883327186107635,-0.003154844183921814,-8.020674575877831e-05,9.834360158871803e-05,0.0003374054882984315,0.0029685097192021998,-0.0005569739303605152,-0.0026353437824269627
-0.008048176765441895,-0.0592494010925293,0.0434722900390625,-0.0019524891412258149,0.00045128539204597473,-0.0005778231763839722,-0.00010141350583226124,-0.0003170160095396449,0.00014109380011361692,-0.0002831827781623499,-0.0018044837939786577,-0.0022177430345671103
-0.05982553958892822,-0.0491483211517334,0.1286468505859375,-0.004855487191081047,0.000737261027097702,-0.0016836635732650758,2.9971547082107252e-05,3.214288518670401e-05,-6.047576897300823e-05,-0.0008759580598166738,-0.00020700007348589526,-0.0005501730641366483
-0.03741037845611572,-0.010535955429077148,0.0429534912109375,-0.0013390506714582443,0.0008127503097057343,-0.0014063608694076537,2.7020994195959125e-05,1.0921258325284767e-05,-5.411716180257367e-05,-0.0008042287404493363,-0.00019055064105101733,-0.00028283151601614934
-0.0811835527420044,-0.013396739959716797,0.020751953125,-0.0010521278321743012,0.0013466663658618927,-0.003343225131034851,1.2748413722292528e-05,4.627059597281477e-05,-0.00010376204779661644,-0.0022257675749163663,-0.00022616884414542046,-0.00026040025862177627
-0.10364067554473877,-0.07858610153198242,0.020538330078125,-0.0024675514543056488,0.0012659914791584015,-0.003604994921684265,4.6199294825221293e-05,2.9806777347016436e-06,-0.00010965938652483054,-0.0030024292398624806,-0.0013544726035197533,-0.0009453912305852165
-0.0472259521484375,-0.10047151148319244,0.02154541015625,-0.0027765231895446776,0.001281142234802246,-0.001070780563354492,-3.693753050787174e-05,8.860841603998324e-05,-1.2702124469679472e-05,-0.0020160899070059382,-0.0011753604828495263,0.0005515347670943302
-0.05971825122833252,-0.09781216084957123,0.0646514892578125,-0.0033310910928249357,0.0007315762341022491,-0.0016605469846725463,-1.7383922656248257e-05,8.35063437932471e-05,-1.5040694617933693e-05,-0.0027710751288754693,-0.002720546644865287,0.0006247016978127858
-0.09657585620880127,-0.0377802848815918,0.0852203369140625,-0.003484139436483383,0.0015377886593341827,-0.003540987238883972,0.00010344635323056696,-0.00046738977288087136,0.0002576581064737565,-0.008633565381639698,-0.01872555564945473,-0.015440101607621855
-0.0159912109375,-0.051197052001953125,0.1072235107421875,-0.004592885665893554,0.00019869208335876465,-0.0002201731872558593,-3.194816379125249e-05,-0.0003173334837839868,0.0004575437712108013,-0.010015280169447973,-0.027509762997533077,-0.010361080955500866
-0.06183207035064697,-0.12504936754703522,0.021575927734375,-0.003075827175974846,0.0014589838683605194,-0.001712809729576111,4.212108053117885e-05,-0.00010933217130473312,8.427521135098617e-05,-0.004603686447275222,-0.008357584452415414,-0.00479249767318017
-0.053256988525390625,-0.039524078369140625,0.06390380859375,-0.0032230338287353513,0.0010059177875518799,-0.001614574966430664,4.686604139792222e-05,-6.661606713286551e-05,6.346001528963903e-05,-0.003483687786558378,-0.005689321743430195,-0.004285041083068946
