Fx_N,Fy_N,Fz_N,Mx_Nm,My_Nm,Mz_Nm,ux_m,uy_m,uz_m,theta_x_rad,theta_y_rad,theta_z_rad
0.36375731229782104,0.007728099822998047,-0.1914825439453125,0.005786114934682846,-0.0055263228714466095,0.011017336571216584,0.0,0.0,0.0,0.0,0.0,0.0
0.3193198889493942,0.06286191940307617,-0.277069091796875,0.010130370349884033,-0.004276681691408157,0.009549534943699837,-6.605152169826094e-06,1.9341907422078463e-05,-1.7488736050790077e-05,-0.00048639493848955204,-0.00010996176126773184,4.010587687200693e-05
0.24367785453796387,0.09118962287902832,-0.191314697265625,0.008056803567409515,-0.0026375334709882736,0.007659850397109985,-6.605152169826094e-06,1.9341907422078463e-05,-1.7488736050790077e-05,-0.00048639493848955204,-0.00010996176126773184,4.010587687200693e-05
0.2968284338712692,0.10359907150268555,-0.2125701904296875,0.009120464839935304,-0.0036427266895771027,0.008788329117894173,-2.1810945434514471e-07,1.0436877272554837e-05,2.2244100484189372e-05,0.00011428515147789419,0.00011691019154934606,-2.829201923228118e-05
0.26652026176452637,0.07222676277160645,-0.2778472900390625,0.009645269391536712,-0.003277568146586418,0.007950043458938598,-6.687515927417805e-06,6.218995046631903e-06,-5.315992356311871e-06,-0.00048558309431678267,0.0007793500947857614,0.00023575403212342753
0.2896716594696045,0.11145710945129395,-0.2132720947265625,0.008613039128780364,-0.003908870741724968,0.008701714525222778,4.184130982448532e-05,-1.218531116646963e-05,0.00016727919339577948,-0.0025966924003937167,0.009970577450457733,0.0010317980981706131
0.312323734164238,0.0752100944519043,-0.169921875,0.006944008102416992,-0.004538137465715408,0.00945383502304554,-0.00011369655505340264,-0.0001222540164730777,1.1231300805181363e-05,0.0013303671312505506,-0.0009253003396188114,0.002538822408202462
0.25300176441669464,0.10564780235290527,-0.191131591796875,0.008857235040664673,-0.0031041596084833145,0.007325093323588371,-0.00011018528199070501,-7.241121223130978e-05,-3.50714712794619e-05,-0.0003696369859200237,-0.0008632088740473253,0.002114652318702645
0.3277236670255661,0.09960126876831055,-0.2343902587890625,0.009376019706726073,-0.004729289561510086,0.00965185073196888,-0.00011888500348617223,-9.154978351648085e-05,-2.174657773529038e-05,-0.00041340475792508064,-0.0006149698582126963,0.0021692499785402304
0.2812678813934326,0.07471776008605957,-0.2559356689453125,0.009366882569789885,-0.0034560244530439377,0.008599398736953735,-0.00011034084701222062,-7.459827247596661e-05,-3.579700498607148e-05,-0.0004937888585282646,-0.0007479740537956431,0.0018626826663427519
0.28995776176452637,0.11157536506652832,-0.2776031494140625,0.010744250829219818,-0.003915099427103996,0.008720880517959594,-0.00010659560621049851,-7.387521112002175e-05,-3.069260236851967e-05,-5.441404275706889e-05,-0.0010171261034778209,0.0018610049383419975
0.2680652141571045,0.17912602424621582,-0.255859375,0.011895278985500335,-0.003288833424448967,0.00798208577156067,-0.00011825519514661241,-7.898825989896408e-05,-2.8597838116552526e-05,-2.7666800236416874e-05,-0.0014534529055751546,0.001925698825998194
0.2812678813934326,0.07471776008605957,-0.2559356689453125,0.009366882569789885,-0.0034560244530439377,0.008599398736953735,-0.0001001072014969794,-5.438500579696901e-05,-3.940679498696086e-05,-0.0006747800633678039,-0.0010059665667904406,0.0022853257542693626
0.258979007601738,0.0884547233581543,-0.213134765625,0.008329383010864257,-0.002827931195497513,0.007372023461461067,-9.056571314739037e-05,-0.0001006487955611774,-1.2311978715299935e-05,0.00041877091876952867,-0.0007095421073271599,0.0018098970106631513
0.3788135349750519,0.11680150032043457,-0.2977752685546875,0.012305801904201507,-0.005002943798899651,0.01168779785990715,-0.00011065774173926293,-0.00010530360898875434,-7.270801965425132e-06,0.00023898423317558556,-0.0005516844862821467,0.0021281651141067106
0.3475516736507416,0.13785839080810547,-0.2771453857421875,0.011044909579753875,-0.0039144232869148254,0.010324285112619399,-0.0001177436609068969,-6.565577885059294e-05,-6.79305983088099e-05,-0.0009803219929042507,-0.0003850567187460934,0.0022314988890948808
0.3124106675386429,0.18222332000732422,-0.362335205078125,0.01587093098402023,-0.0038355067372322083,0.00995740370452404,-0.00016402240710231952,-5.313034966599767e-05,-0.00020385057188834717,-0.0038801074124615877,-0.001434450881862982,0.0026148091984860905
0.280707523226738,0.07858610153198242,-0.298370361328125,0.011237239227294922,-0.0027451999485492706,0.008116452248692512,-0.00012184094021272157,-5.097707766474295e-05,-6.821557406837852e-05,-0.0011754447767100688,-0.001131045072715386,0.0020737784896602534
0.20601876825094223,0.09332942962646484,-0.3217315673828125,0.010522274965047837,-0.0018332675099372864,0.005781617552340031,-0.00010253484293720985,-5.0399745000515546e-05,-7.896106404742031e-05,-0.0014904878620040699,-0.00048411647929185245,0.00182400596932099
0.30989718437194824,0.021277666091918945,-0.234588623046875,0.007169816974401473,-0.0038093309849500656,0.009398448877334594,-0.00011992446995850455,-7.801325939154336e-05,-2.1826034452167597e-05,-0.0006369279384422889,-0.00032570088007125654,0.0022552459321018227
0.4157962203025818,0.14930987358093262,-0.2982940673828125,0.01208993301153183,-0.005808698013424873,0.01306754444360733,-0.00010070508445276317,-7.512524578695606e-05,-2.1206986625959615e-05,-0.0005560015498821064,-0.0007575312995578754,0.0018279814569088105
0.3653213381767273,0.0831294059753418,-0.2990264892578125,0.010686725120544433,-0.00554778054356575,0.010591533958911895,-8.659546453908284e-05,-8.44267835993015e-05,-3.925280603062672e-06,-9.739912450403404e-05,-0.0012873237172352622,0.0016388005645062082
0.32237426936626434,0.290266752243042,-0.2560882568359375,0.013884383828639983,-0.005007730796933174,0.010078666270375252,-8.928034240645409e-05,-6.693911558951495e-05,-4.358503806364409e-05,-0.000792396466958025,-0.0016077842857772817,0.001805046003943519
0.40108293294906616,0.17339587211608887,-0.234283447265625,0.010266620919704438,-0.005624966695904732,0.012402402651309966,-0.00011555787851161363,-6.372296215651224e-05,-7.326909876032366e-06,-0.0003206423837415395,-0.0018247690394457487,0.0023248711470882444
0.3200976848602295,0.1384575366973877,-0.3201751708984375,0.01289826360464096,-0.004284946247935295,0.009567997903823853,-0.00012366761602499994,-6.567778747296307e-05,-4.217510427051614e-05,-0.0010968823535786832,-0.001458658890319607,0.0021394589620537135
0.27382922172546387,0.08657383918762207,-0.3634033203125,0.012861025216579437,-0.0030173342674970627,0.008048869256973266,-0.00013178718250616932,-5.8415883882500634e-05,2.0128080053526112e-05,0.0002918893974176322,-0.0018346794011448986,0.002146866469630797
0.3346160352230072,0.14136791229248047,-0.36248779296875,0.014749236800670622,-0.004462964832782745,0.010699444032907485,-1.143682563963422e-05,-0.0004003578749748591,-0.00020954759764670882,-0.005762000155640891,-0.0009934287259506546,0.008184608306386374
0.33170174062252045,-0.03233182430267334,-0.274444580078125,0.01202302651643753,-0.005486281588673592,0.009337881527543068,-0.00012664083516502402,-0.00033878639877041187,-0.00026056569918972693,-0.00507463270918277,-0.0016765572802978585,0.0016427417268939212
0.4056297838687897,-0.10598266124725342,-0.468109130859375,0.016905291397571562,-0.010989569127559662,0.014187064870595931,5.7053851847156125e-05,-0.0012955265342611635,-0.000313643567060451,-0.0011161907105566103,-0.0031116201641539255,0.01754903262123191
0.585970550775528,-0.4305304288864136,-0.3978118896484375,0.016887730970382688,-0.021662648767232895,0.023368771528005598,0.0001568559225794462,-0.0017669422410033406,-0.0001436002481198948,-0.0017634800405437496,-0.0038729195553897674,-2.0936951067626808e-05
0.6599589884281158,-0.6557186841964722,-0.3503570556640625,0.017831452300548552,-0.01870223507285118,0.012974763177633283,0.00030668645681562593,-0.0033635461081821774,6.441404542180905e-05,0.007597722026921092,-0.0031229215940126597,-0.0077627360955713366
0.6360999643802643,-1.303627848625183,-0.514556884765625,0.02143686775445938,-0.023017920553684235,0.012617876008749009,0.00023242846214235714,-0.00477260730670984,6.903466868656092e-06,0.006468217401679525,0.0021298373537953293,-0.0060965912856100046
0.5407601594924927,-1.7794700860977173,-0.829681396484375,0.03296489510297775,-0.029272958636283875,0.015755548357963563,0.0003371758697067984,-0.006356584790027867,-3.234438677929524e-05,0.00512244578772944,-0.0008260634618577721,-0.009676402394092875
0.7459947764873505,-2.5680325031280518,-0.683807373046875,0.02916180605649948,-0.023679427802562714,0.01727177996754646,0.0005318700021185737,-0.00833232013101555,4.616715485608234e-05,0.016419483537548112,-0.0007688604160475163,-0.020894323284076463
0.865210622549057,-3.0825626850128174,-0.60748291015625,0.03102630080461502,-0.02478894218802452,0.01753735778450966,0.0009569087432941905,-0.010257994106414915,0.0006974709694244286,0.03076014674344135,0.0031459694001368358,-0.026056937941867298
0.9376964271068573,-3.7590153217315674,-0.462615966796875,0.030513864870071412,-0.021439973264932632,0.018084140778779983,0.0007081766274586685,-0.01338184166484872,0.00026587951528588645,0.02791551844073912,0.001033224115241474,-0.02512054316562948
0.976123183965683,-4.998939275741577,-0.638641357421875,0.037524825439453124,-0.04027343913912773,0.03002936628937721,0.0004394682456955013,-0.01725928681200186,0.0009271073784193761,0.04697311572178378,0.000961384447734289,-0.029301708778587978
0.8215750753879547,-6.2560670375823975,-0.900634765625,0.04801930854082108,-0.05533434823155403,0.035418725055456166,0.0005116677052785601,-0.01948153715407066,0.0006469450789200299,0.044592543361255364,0.004974489996830574,-0.04948296563523309
0.9010238349437714,-6.980852365493774,-0.9535064697265625,0.050338910291194916,-0.06020217016339302,0.03820456031918526,0.00020620218305011841,-0.02094888054964334,0.000791180896957074,0.05150548591237974,0.0027459409587049484,-0.050496578877454935
0.859945148229599,-7.490044832229614,-0.901275634765625,0.05390358466148376,-0.07133208587765694,0.04402408707261085,-5.343758500771364e-05,-0.023257348123854778,0.0008871029300251117,0.058785022330243845,0.0006376723700227191,-0.04723992339237502
0.700681060552597,-8.335204839706421,-0.8479156494140625,0.051442500731945034,-0.0799659751355648,0.0488605542242527,5.854726597258981e-05,-0.025163042942959606,0.0006202620849699613,0.06307477071661828,-0.00015633236595750152,-0.04639188232128696
0.8158970177173615,-8.917429685592651,-0.59613037109375,0.04810799967765808,-0.07853931561112404,0.05461901973605156,1.6524819870663513e-06,-0.026526857593297565,0.0008587791623645726,0.06124712203712937,0.002602327074955558,-0.043753749144037506
0.8947935998439789,-9.494757413864136,-0.4955596923828125,0.048792247943878174,-0.07773235067725182,0.06093226173043251,-0.00012101908654362078,-0.02877923959777384,0.0007974632395110633,0.06971047636179546,-0.0006729606533542152,-0.03623722884386734
0.6436326205730438,-10.304949522018433,-0.72021484375,0.056795563876628874,-0.08313166722655296,0.06373033539891243,-0.00022110309248474984,-0.03041463281594318,0.0005780090239060787,0.06546432766944842,0.002219447466320429,-0.02853038298666227
0.7545718252658844,-10.816333532333374,-0.577667236328125,0.05646947053194046,-0.0855330266058445,0.07425627624869346,-7.673041808907931e-05,-0.032224423176568394,0.0009221261336466277,0.07261623672493873,0.003323053342114979,-0.03490638284539975
1.0795736610889435,-11.654280424118042,-0.50128173828125,0.05503581451654434,-0.09729817137122154,0.07686417545199395,4.113928972157045e-05,-0.03326081352350923,0.0008319830463616622,0.07850943902300112,-8.425976659315891e-05,-0.04136175826138235
1.1385177671909332,-11.83781123161316,-0.7376251220703125,0.06105056935787201,-0.10439054295420647,0.07882264307379722,-0.0004829778353482048,-0.03176377778834355,0.0009420553654182903,0.07472079865365185,0.0012736848663867833,-0.047989161888639914
0.98059943318367,-10.910714864730835,-0.5551910400390625,0.05501229908466339,-0.08549650385975838,0.07031890483736991,-0.0001385226107893376,-0.029212699354691445,0.0008226603513666131,0.07271008402635465,-0.00048396256045403496,-0.037468424993715506
0.9239944517612457,-9.824570417404175,-0.76995849609375,0.058450883173942564,-0.08515937253832817,0.06642176458716392,8.869542075809022e-05,-0.02685292572725856,0.0009231696059804708,0.06759737598047078,0.00036391580053329653,-0.026691256984114987
0.9824856221675873,-9.125021696090698,-0.7005615234375,0.05132273043870926,-0.08728887513279915,0.06399424881577492,-5.0114816587069205e-06,-0.024718226013097224,0.0008296453237467793,0.06619218313725952,-0.0005791978973726955,-0.04394938958161168
0.9040521085262299,-8.049480199813843,-0.373199462890625,0.03898643007993698,-0.06796687468886375,0.04688983870148659,-0.0005466196211851612,-0.02163939334450041,0.0011181600253950014,0.058739814203769565,0.005875622942987403,-0.052416302749147554
0.6843844950199127,-6.9239866733551025,-0.5478973388671875,0.039920797173976896,-0.06492793932557106,0.03626572432875633,-0.0008263050069360991,-0.01942677261713562,0.0009680419734915521,0.05341984859906439,0.002458506056924891,-0.05829189105521752
0.4001414179801941,-6.173990488052368,0.004119873046875,0.02471452660560608,-0.044110316783189774,0.025794072697162627,-0.0010851398932944702,-0.019170538504209206,0.0008467674566279876,0.04956384474815109,0.0025102880852253973,-0.04912868374034355
0.3054010421037674,-6.006314992904663,-0.1071624755859375,0.025815340704917908,-0.046469662338495255,0.03408351077258587,-0.0010404938295661909,-0.018323889516926224,0.0007949939800126909,0.04619862596688712,0.0029828524851890125,-0.051292819602208134
0.24086681008338928,-5.690599679946899,0.0634918212890625,0.01792597592830658,-0.02626420557498932,0.027267057679891585,-0.0005474216217370444,-0.017056053372051457,0.0009503348371914366,0.050054213774841386,0.0026112830226857854,-0.03675177232643355
0.44108664989471436,-5.117114305496216,-0.0803985595703125,0.017153649888038636,-0.03437688574194908,0.030531337704658507,-0.0008228357275441899,-0.014569828958420494,0.0010621045452840195,0.04683632977411657,0.00298152873597569,-0.04356922451981546
