stamp_sec,state,message,requested_mode,tag_id,tag_margin,tag_x_camera_m,tag_y_camera_m,tag_z_camera_m,tag_range_m,tag_bearing_rad,tag_face_yaw_error_rad,tag_face_normal_x_camera,tag_face_normal_y_camera,tag_face_normal_z_camera,tag_rel_x_m,tag_rel_y_m,tag_rel_z_m,odom_x,odom_y,odom_yaw,odom_rel_x,odom_rel_y,odom_rel_yaw,imu_x,imu_y,imu_z,imu_w,cmd_heading,cmd_lateral,cmd_turning,range_error_m,lateral_error_m,yaw_error_rad,target_reached
1782599827.3949,TRACKING,Tracking AprilTag,Walk,4,77.0051040649414,-0.8515841903121711,-0.06083910834661078,1.9665560983215815,2.143884306146171,-0.4086551636685049,0.015565569077193994,0.015562864457241563,-0.016332323592675137,0.9997454938412824,0.0,0.0,0.0,0.002849372668699101,0.8917734889757756,-0.8724714229212986,5.375728394850426e-07,4.479359582472346e-07,2.529990944521998e-06,-0.015380542640521109,0.7097021818411883,-0.0019530847797487123,0.7043311986968793,0.18,0.12,0.16,1.4665560983215815,-0.8515841903121711,-0.4086551636685049,False
1782599827.444907,TRACKING,Tracking AprilTag,Walk,4,77.11489868164062,-0.8480699250633523,-0.06029878425755597,1.9579837403875873,2.134609769677368,-0.40874025251552665,0.018388111646990803,0.0183765587909076,-0.03381698948946679,0.9992590821748251,0.0035142652488188153,0.0005403240890548069,-0.008572357933994246,0.0028512310659346467,0.891761765493412,-0.8724565805369078,1.0711670478134402e-05,-5.666098409741373e-06,1.737237533538938e-05,-0.015380542640521109,0.7097021818411883,-0.0019530847797487123,0.7043311986968793,0.18,0.12,0.16,1.4579837403875873,-0.8480699250633523,-0.40874025251552665,False
1782599827.495098,TRACKING,Tracking AprilTag,Walk,4,77.12242126464844,-0.850984871500045,-0.06075483015803959,1.9648682795141112,2.142095646032227,-0.4087115467927552,0.010112652047854215,0.01011046749198198,-0.019948004803895757,0.9997498964998383,0.0005993188121261595,8.427818857118657e-05,-0.001687818807470265,0.00284344040477282,0.8917605703528423,-0.8724403701246146,6.618176463881516e-06,-1.240153225434943e-05,3.358278762854994e-05,-0.015380542640521109,0.7097021818411883,-0.0019530847797487123,0.7043311986968793,0.18,0.12,0.16,1.4648682795141112,-0.850984871500045,-0.4087115467927552,False
1782599827.5448778,TRACKING,Tracking AprilTag,Walk,4,76.74215698242188,-0.8508677956766734,-0.06072359121471583,1.9646888862993908,2.1418836990364425,-0.4086946684345894,0.009928350349266514,0.009926138159676478,-0.020315949736049832,0.9997443343013039,0.0007163946354977746,0.00011551713189494883,-0.0018672120221907562,0.00284022256855497,0.891764318734313,-0.872444777095318,1.6783539064982885e-06,-1.2456182751904319e-05,2.917581692518656e-05,-0.015380542640521109,0.7097021818411883,-0.0019530847797487123,0.7043311986968793,0.18,0.12,0.16,1.4646888862993908,-0.8508677956766734,-0.4086946684345894,False
1782599827.594874,TRACKING,Tracking AprilTag,Walk,4,77.10542297363281,-0.8509128553788294,-0.060716221406459145,1.964780160189097,2.1419851131283627,-0.4086970388137125,0.010302634299282376,0.010300490688299763,-0.01951199553978405,0.9997565613296248,0.0006713349333417051,0.00012288694015163276,-0.0017759381324844448,0.0028558810573489205,0.8917743476012504,-0.8724112526384538,4.064394961562366e-06,5.984892364284211e-06,6.270027378940668e-05,-0.015380542640521109,0.7097021818411883,-0.0019530847797487123,0.7043311986968793,0.18,0.12,0.16,1.464780160189097,-0.8509128553788294,-0.4086970388137125,False
1782599827.644869,TRACKING,Tracking AprilTag,Walk,4,77.46818542480469,-0.8480662638651876,-0.06021261034340251,1.9581485645120391,2.134757069797682,-0.40870797860349645,0.017441293776040295,0.01743088885533785,-0.033037791310562344,0.9993020906908144,0.003517926446983566,0.0006264980032082701,-0.0084075338095424,0.0031072887464475094,0.8918301583331356,-0.8718652248226874,0.00012295620122483163,0.00023442613718428738,0.00060872808955581,-0.015381203834497264,0.7097326912203739,-0.0019531687408885414,0.7043004406597776,0.18,0.12,0.16,1.4581485645120391,-0.8480662638651876,-0.40870797860349645,False
1782599827.694815,TRACKING,Tracking AprilTag,Walk,4,76.88707733154297,-0.8478970784683064,-0.060340223570792335,1.960147338684517,2.136527085624626,-0.408263336281131,0.025255176321671312,0.025250502895801427,-0.012550132255137193,0.9996023740887612,0.003687111843864721,0.0004988847758184423,-0.006408759637064554,0.0042564549885898235,0.8919429561405409,-0.8685814092574228,0.0007753995543691567,0.0011871191981292642,0.003892543654820391,-0.016296510141084256,0.7100273500795248,-0.0009765698960949366,0.7039848238474374,0.18,0.12,0.16,1.460147338684517,-0.8478970784683064,-0.408263336281131,False
1782599827.7448049,TRACKING,Tracking AprilTag,Walk,4,77.26728820800781,-0.8398392806206987,-0.05452130314908402,1.964927288038218,2.1375784984528154,-0.4039143445961513,0.050221329775167224,0.05019224099550047,-0.017830041271308047,0.9985804066634358,0.01174490969147246,0.006317805197526755,-0.0016288102833634799,0.006454103878431065,0.8917352526136619,-0.8611310615670961,0.002347426676101213,0.002736806949464099,0.0113428913451471,-0.01971416147537037,0.7097708476689846,0.001220691113026029,0.7041556685490649,0.18,0.12,0.16,1.464927288038218,-0.8398392806206987,-0.4039143445961513,False
1782599827.7949018,TRACKING,Tracking AprilTag,Walk,4,77.48497009277344,-0.8270566249417195,-0.04936034247104598,1.9644908420899403,2.132060827679194,-0.3984803248677655,0.11428890707479913,0.11400735030913547,-0.02402365855965246,0.9931894018287243,0.024527565370451643,0.011478765875564796,-0.0020652562316412215,0.009588281947877149,0.8908834889765921,-0.8520560849557152,0.005014879654892871,0.004589714953215702,0.020417867956528002,-0.02246125734883372,0.7089334350725643,0.004211485752906323,0.7049050573958714,0.18,0.12,0.16,1.4644908420899403,-0.8270566249417195,-0.3984803248677655,False
1782599827.84491,TRACKING,Tracking AprilTag,Walk,4,78.65342712402344,-0.7949122439037061,-0.048680403221585934,1.9656832957343155,2.1208880395472933,-0.3842893084876906,0.12267775179463754,0.12232127111836547,-0.028296112415694498,0.9920871114242669,0.05667194640846507,0.012158705125024843,-0.0008728025872659639,0.013365167248485597,0.8901794848094593,-0.8442860410751987,0.00798237853838095,0.007029886016438423,0.0281879118370445,-0.025634943489908753,0.7085620451770255,0.0073853051482832355,0.7051440527117043,0.18,0.12,0.16,1.4656832957343155,-0.7949122439037061,-0.3842893084876906,False
