iteration,solve_time_s,cost,x1_0,x1_1,x2_0,x2_1,x3_0,x3_1,max_step,status
0,0.026032,4.459310,0.401223,0.984406,-0.907200,2.537258,-0.993689,3.900199,0.100000,optimal
1,0.012143,4.208595,0.302388,0.969190,-0.814010,2.573530,-0.980027,3.801137,0.100000,optimal
2,0.010477,4.024638,0.255685,0.907831,-0.720634,2.609320,-0.955266,3.704251,0.100000,optimal
3,0.010782,3.900685,0.253921,0.923411,-0.627923,2.646799,-0.920951,3.610323,0.100000,optimal
4,0.010326,3.790496,0.252444,0.939500,-0.536070,2.686333,-0.877428,3.520291,0.100000,optimal
5,0.010123,3.691077,0.252040,0.944726,-0.505861,2.696897,-0.825130,3.435057,0.100000,optimal
6,0.010463,3.594099,0.251829,0.947654,-0.470228,2.658148,-0.764580,3.355472,0.100000,optimal
7,0.010153,3.500806,0.251952,0.945931,-0.456328,2.640084,-0.696385,3.282332,0.100000,optimal
8,0.010053,3.414553,0.252146,0.943304,-0.456505,2.641400,-0.621226,3.216369,0.100000,optimal
9,0.010034,3.341066,0.252674,0.936722,-0.465755,2.658417,-0.539855,3.158242,0.100000,optimal
10,0.010037,3.319578,0.253602,0.926582,-0.494654,2.709573,-0.501429,3.134801,0.058755,optimal
11,0.009959,3.319443,0.253591,0.926692,-0.494611,2.711047,-0.501426,3.134800,0.001474,optimal
