iteration,solve_time_s,cost,x1_0,x1_1,x2_0,x2_1,x3_0,x3_1,max_step,status
0,0.034850,5.043303,0.904857,0.280787,-0.402441,2.021960,-0.019935,3.902007,0.100000,optimal
1,0.011009,4.707335,0.809796,0.311826,-0.304636,2.042798,-0.035071,3.803159,0.100000,optimal
2,0.010442,4.395006,0.714771,0.342975,-0.215766,2.088647,-0.045545,3.703709,0.100000,optimal
3,0.010512,4.111604,0.619613,0.373713,-0.139593,2.153436,-0.051595,3.603892,0.100000,optimal
4,0.010277,3.859862,0.529111,0.416251,-0.077836,2.232087,-0.053511,3.503911,0.100000,optimal
5,0.010258,3.664566,0.455636,0.484085,-0.078169,2.231563,-0.055442,3.403929,0.100000,optimal
6,0.010436,3.493655,0.391840,0.561091,-0.082053,2.225555,-0.057703,3.303955,0.100000,optimal
7,0.010323,3.344414,0.338854,0.645900,-0.086771,2.218501,-0.060381,3.203991,0.100000,optimal
8,0.010071,3.213111,0.297623,0.737005,-0.092494,2.210278,-0.063602,3.104043,0.100000,optimal
9,0.009972,3.095793,0.268878,0.832784,-0.099419,2.200777,-0.067567,3.004121,0.100000,optimal
10,0.010233,3.087719,0.253131,0.931536,-0.107779,2.189899,-0.059437,3.001768,0.100000,optimal
11,0.010175,3.087413,0.252284,0.941512,-0.108050,2.189556,-0.059571,3.001776,0.010011,optimal
12,0.009967,3.087409,0.252243,0.942044,-0.108092,2.189503,-0.059595,3.001777,0.000533,optimal
