frame_index,stamp_sec
0,1782755433.2510843
1,1782755433.2867556
2,1782755433.3396435
3,1782755433.385352
4,1782755433.4179564
5,1782755433.4521105
6,1782755433.4859536
7,1782755433.5178847
8,1782755433.5543466
9,1782755433.5889997
10,1782755433.6436498
11,1782755433.6853225
12,1782755433.7184272
13,1782755433.75183
14,1782755433.804534
15,1782755433.8605828
16,1782755433.903519
17,1782755433.9537168
18,1782755433.9851868
19,1782755434.018828
20,1782755434.0524366
21,1782755434.0855074
22,1782755434.1319914
23,1782755434.1636534
24,1782755434.197877
25,1782755434.2519367
26,1782755434.2856832
27,1782755434.3205385
28,1782755434.351451
29,1782755434.4044595
30,1782755434.43389
31,1782755434.4850233
32,1782755434.5174203
33,1782755434.5522535
34,1782755434.5856788
35,1782755434.6178632
36,1782755434.6558008
37,1782755434.6878448
38,1782755434.7285347
39,1782755434.767168
40,1782755434.8182425
41,1782755434.851822
42,1782755434.8846896
43,1782755434.9204555
44,1782755434.9573233
45,1782755434.9877822
46,1782755435.0294185
47,1782755435.0699642
48,1782755435.118088
49,1782755435.1518636
50,1782755435.1858828
51,1782755435.2211492
52,1782755435.2651744
53,1782755435.29417
54,1782755435.3295124
55,1782755435.3854985
56,1782755435.417982
57,1782755435.4518046
58,1782755435.5045102
59,1782755435.5397062
60,1782755435.592884
61,1782755435.6318421
62,1782755435.6674142
63,1782755435.7180707
64,1782755435.7523897
65,1782755435.7843285
66,1782755435.820056
67,1782755435.8646102
68,1782755435.8939726
69,1782755435.9267528
70,1782755435.9857671
71,1782755436.01905
72,1782755436.0682158
73,1782755436.1474025
74,1782755436.1849291
75,1782755436.2188623
76,1782755436.2522008
77,1782755436.2853851
78,1782755436.3177202
79,1782755436.36103
80,1782755436.3919797
81,1782755436.427839
82,1782755436.485813
83,1782755436.5211308
84,1782755436.551788
85,1782755436.5848699
86,1782755436.6193693
87,1782755436.6758478
88,1782755436.7179086
89,1782755436.751873
90,1782755436.7854426
91,1782755436.818679
92,1782755436.8520691
93,1782755436.888244
94,1782755436.9275186
95,1782755436.96854
96,1782755437.0183167
97,1782755437.0520966
98,1782755437.0861444
99,1782755437.1197338
100,1782755437.1590421
101,1782755437.1884196
102,1782755437.2306886
103,1782755437.2671282
104,1782755437.3175578
105,1782755437.351768
106,1782755437.3849945
107,1782755437.4187539
108,1782755437.4528892
109,1782755437.4990425
110,1782755437.5609708
111,1782755437.5939295
112,1782755437.6510363
113,1782755437.6848223
114,1782755437.7179186
115,1782755437.7527666
116,1782755437.7856777
117,1782755437.819678
118,1782755437.860301
119,1782755437.9099703
120,1782755437.9512904
121,1782755437.9851112
122,1782755438.017892
123,1782755438.0520515
124,1782755438.102448
125,1782755438.1610637
126,1782755438.194317
127,1782755438.2297177
128,1782755438.2847571
129,1782755438.318891
130,1782755438.3515196
131,1782755438.3873055
132,1782755438.4215279
133,1782755438.4606571
134,1782755438.4929557
135,1782755438.5305061
136,1782755438.5622194
137,1782755438.618991
138,1782755438.6524549
139,1782755438.6876185
140,1782755438.7204998
141,1782755438.761068
142,1782755438.7946994
143,1782755438.851841
144,1782755438.8853095
145,1782755438.918949
146,1782755438.9519026
