stem,length_m,sample_count,total_weighted_cost,min_weighted_error,median_weighted_error,mean_weighted_error,max_weighted_error,ux_m_rmse,uy_m_rmse,uz_m_rmse,theta_x_rad_rmse,theta_y_rad_rmse,theta_z_rad_rmse,ux_m_weighted_rmse,uy_m_weighted_rmse,uz_m_weighted_rmse,theta_x_rad_weighted_rmse,theta_y_rad_weighted_rmse,theta_z_rad_weighted_rmse
bota_0p5m,5.000000000000000000e-01,622,9.393263309783490556e+00,8.904167223162241882e-04,8.245780881645081717e-02,1.010912272796502392e-01,2.577160552829604323e-01,1.006767095677158462e-03,1.436291900904516916e-03,7.097367112610541593e-04,2.430396192702418412e-01,3.005814237911639750e-02,2.051264449786474250e-02,1.006767095677158462e-03,1.436291900904516916e-03,7.097367112610541593e-04,1.215198096351209206e-01,1.502907118955819875e-02,1.025632224893237125e-02
bota_0p75m,7.500000000000000000e-01,643,5.677053515447224363e+00,6.190623539612176256e-04,3.827889213163398335e-02,6.543422333374539213e-02,2.874242101780367653e-01,3.889673674453590158e-04,1.800328486593592370e-03,7.494269228491051617e-04,1.244615581697436357e-01,1.222667471023202411e-02,6.986947305567140463e-03,3.889673674453590158e-04,1.800328486593592370e-03,7.494269228491051617e-04,9.334616862730771292e-02,9.170006032674019383e-03,5.240210479175355131e-03
bota_1m,1.000000000000000000e+00,666,2.395626394294627559e+01,4.942309901062187302e-03,1.223567032147621914e-01,1.520349905640095423e-01,5.380004907740526532e-01,1.240652450603694839e-03,4.790733475079561772e-03,2.809927612862471100e-03,1.874907348862927814e-01,8.054679813740353231e-03,2.683890285898708067e-02,1.240652450603694839e-03,4.790733475079561772e-03,2.809927612862471100e-03,1.874907348862927814e-01,8.054679813740353231e-03,2.683890285898708067e-02
bota_1p25m,1.250000000000000000e+00,723,1.388057019333240483e+01,5.280269078261030230e-03,1.057664359770229268e-01,1.177248407656373286e-01,3.187161285833093882e-01,7.183949841436967866e-04,6.612657585085155755e-03,4.422043214249217827e-03,1.097409269386186159e-01,7.810483642133129664e-03,1.192405651839839945e-02,7.183949841436967866e-04,6.612657585085155755e-03,4.422043214249217827e-03,1.371761586732732630e-01,9.763104552666412514e-03,1.490507064799799844e-02
bota_1p5m,1.500000000000000000e+00,695,2.153174625534357034e+01,5.440219886701875597e-03,1.013603036654214390e-01,1.322383215774364240e-01,7.646157839517007115e-01,5.644635837076042439e-04,7.221843059351828499e-03,7.946111433665668106e-03,1.162901767335200870e-01,1.035737575610023824e-02,9.340106036201589398e-03,5.644635837076042439e-04,7.221843059351828499e-03,7.946111433665668106e-03,1.744352651002801236e-01,1.553606363415035822e-02,1.401015905430238496e-02
bota_1p75m,1.750000000000000000e+00,677,1.688102156300219647e+01,1.517898074598716474e-03,1.214688189876017843e-01,1.375174921867779454e-01,3.404546898214730888e-01,6.361474698663464530e-04,1.107041450817348310e-02,7.240420416255853586e-03,8.832396939998775343e-02,1.207395067868304896e-02,1.174231809528684597e-02,6.361474698663464530e-04,1.107041450817348310e-02,7.240420416255853586e-03,1.545669464499785928e-01,2.112941368769533090e-02,2.054905666675197959e-02
bota_2m,2.000000000000000000e+00,663,3.223845327071952482e+01,1.131737044326372454e-02,1.538996369250176521e-01,1.763046474773060368e-01,6.833051808968145791e-01,5.684918192957606449e-04,7.999681500734604628e-03,1.174457907695124030e-02,1.094894295502887860e-01,8.208229775931876956e-03,7.099717484145839051e-03,5.684918192957606449e-04,7.999681500734604628e-03,1.174457907695124030e-02,2.189788591005775720e-01,1.641645955186375391e-02,1.419943496829167810e-02
bota_2p25m,2.250000000000000000e+00,635,6.818905320193215402e+01,5.894346865418011519e-03,2.281166853594525923e-01,2.653528900553397962e-01,9.348825850840084550e-01,1.181127233481933572e-03,9.032256197664664810e-03,7.870018169399429706e-03,1.451208796800179390e-01,8.856130709386204544e-03,6.677941608869513573e-03,1.181127233481933572e-03,9.032256197664664810e-03,7.870018169399429706e-03,3.265219792800403420e-01,1.992629409611895719e-02,1.502536861995640641e-02
bota_2p5m,2.500000000000000000e+00,640,1.561561794919269630e+02,6.808477430102624801e-03,1.235870944691080525e-01,2.989631244507126029e-01,1.706124432735701246e+00,1.689523149492778899e-03,9.403096645116742688e-03,9.396502612561703771e-03,1.970168605709659848e-01,1.107233722286152765e-02,8.489649931030686728e-03,1.689523149492778899e-03,9.403096645116742688e-03,9.396502612561703771e-03,4.925421514274149759e-01,2.768084305715381999e-02,2.122412482757671595e-02
