ux,uy,uz,theta_x,theta_y,theta_z
1.830654420452571928e-05,1.018158487293480190e-04,1.431942317078882362e-05,-2.042251380726069297e-03,-8.306067918881445853e-04,5.593317183520998251e-05
1.018158487293480190e-04,1.371195628074086195e-03,1.742166534182841681e-05,-6.665686693929321650e-03,-1.079584651470497959e-03,4.492554083867860738e-03
1.431942317078882362e-05,1.742166534182841681e-05,7.516736748200865403e-04,-2.027359426472838660e-03,-7.047077959465125304e-04,3.654687421943098946e-05
-2.042251380726069297e-03,-6.665686693929321650e-03,-2.027359426472838660e-03,1.368720067648629968e+00,-2.077733025889939161e-02,1.658625446549423857e-02
-8.306067918881445853e-04,-1.079584651470497959e-03,-7.047077959465125304e-04,-2.077733025889939161e-02,3.486468011448494442e-02,5.961958360374625815e-03
5.593317183520998251e-05,4.492554083867860738e-03,3.654687421943098946e-05,1.658625446549423857e-02,5.961958360374625815e-03,2.352632985214397204e-02
