ux,uy,uz,theta_x,theta_y,theta_z
1.649977335647815702e-04,8.757806844361582692e-05,-1.698944311043370668e-04,1.835646391292021376e-03,-3.035528488559229271e-05,-1.484202803371795958e-03
8.757806844361582692e-05,6.440995247886424201e-04,-2.814136704904875166e-05,-1.756590856972661168e-03,2.727699827816535468e-04,3.256996627117030030e-03
-1.698944311043370668e-04,-2.814136704904875166e-05,4.875592800086073772e-04,-8.655610252762010971e-04,1.195458748770458117e-03,4.186068741709404652e-04
1.835646391292021376e-03,-1.756590856972661168e-03,-8.655610252762010971e-04,6.189299229569144023e-01,-3.264264107096622597e-02,-2.722549494703025829e-03
-3.035528488559229271e-05,2.727699827816535468e-04,1.195458748770458117e-03,-3.264264107096622597e-02,3.553614083457410366e-01,-1.278428372519059275e-01
-1.484202803371795958e-03,3.256996627117030030e-03,4.186068741709404652e-04,-2.722549494703025829e-03,-1.278428372519059275e-01,9.329377781146654114e-02
