stamp_sec,state,message,requested_mode,tag_id,tag_margin,tag_x_camera_m,tag_y_camera_m,tag_z_camera_m,tag_range_m,tag_bearing_rad,tag_face_yaw_error_rad,tag_face_normal_x_camera,tag_face_normal_y_camera,tag_face_normal_z_camera,tag_pose_rel_x_m,tag_pose_rel_y_m,odom_x,odom_y,odom_yaw,odom_rel_x,odom_rel_y,odom_rel_yaw,odom_tagframe_rel_x_m,odom_tagframe_rel_y_m,imu_x,imu_y,imu_z,imu_w,cmd_heading,cmd_lateral,cmd_turning,range_error_m,lateral_error_m,yaw_error_rad,cmd_face_yaw_error_rad,cmd_face_blend,target_reached
1782601026.4569461,TRACKING,Tracking AprilTag,Walk,4,72.86243438720703,-0.7021167288033869,-0.05547924487003564,2.1744349742301794,2.2856538024452258,-0.312327883155666,-0.05095424197377372,-0.05092325886795598,-0.018732414191882565,0.9985268741324946,4.567188989618793e-16,-3.080625391669528e-17,0.15929121715816355,1.3080867572046082,-1.0778110253386335,4.898202157525673e-07,6.642863155468894e-07,3.0276869098511128e-06,6.702415274098749e-07,4.816393336491849e-07,-0.01727297019582876,0.7064827915785086,-0.0160522655883497,0.7073372848037439,0.18,0.12,0.16,1.6744349742301794,-0.7021167288033869,-0.312327883155666,-0.05095424197377372,-0.1744349742301794,False
1782601026.5064983,TRACKING,Tracking AprilTag,Walk,4,72.54369354248047,-0.7024634876853931,-0.05545695755296838,2.1756066852361453,2.286874477210406,-0.3123147372478503,-0.05535737754125257,-0.0553100176618652,-0.026267269645784064,0.9981236559122321,-0.0015568503774781766,0.010196864999647339,0.15928501890152597,1.308094126640455,-1.0777637282084134,-8.935459890210092e-06,-1.3082919391720958e-06,5.032481712996528e-05,-8.905174980873861e-06,1.5006431313521082e-06,-0.01727297019582876,0.7064827915785086,-0.0160522655883497,0.7073372848037439,0.18,0.12,0.16,1.6756066852361453,-0.7024634876853931,-0.3123147372478503,-0.05535737754125257,-0.1756066852361453,False
1782601026.5565386,TRACKING,Tracking AprilTag,Walk,4,72.91106414794922,-0.7018673133569281,-0.05549247652529527,2.174148275736808,2.285304764227108,-0.3122625536813308,-0.05081437143719205,-0.05077577932538296,-0.02566185348211752,0.9983803330944386,2.576127253157674e-05,-8.328751436087815e-05,0.15926337360377946,1.3081163116457255,-1.0777366103446033,-3.872254319263307e-05,-9.877016565237694e-06,7.744268094000972e-05,-3.988413702997776e-05,2.499284079345677e-06,-0.01727297019582876,0.7064827915785086,-0.0160522655883497,0.7073372848037439,0.18,0.12,0.16,1.6741482757368078,-0.7018673133569281,-0.3122625536813308,-0.05081437143719205,-0.1741482757368078,False
1782601026.6065228,TRACKING,Tracking AprilTag,Walk,4,72.72693634033203,-0.7023421070145581,-0.05543743145472627,2.175789289772848,2.287010445446671,-0.31223967559485954,-0.055842129826773584,-0.05578641124744211,-0.030928264896324043,0.9979635858840913,-0.0018335577021266936,0.011530385017475173,0.15922839965066574,1.3081341972757343,-1.0777232265237124,-7.103005240462476e-05,-3.222199375766576e-05,9.082650183089847e-05,-7.749468319984328e-05,-8.837380951317943e-06,-0.01727297019582876,0.7064827915785086,-0.0160522655883497,0.7073372848037439,0.18,0.12,0.16,1.675789289772848,-0.7023421070145581,-0.31223967559485954,-0.055842129826773584,-0.1757892897728479,False
1782601026.6565225,TRACKING,Tracking AprilTag,Walk,4,72.76004028320312,-0.7008060932095831,-0.055229762447015905,2.1712759599396385,2.2822398649465905,-0.312206675953531,-0.04472273361645073,-0.044684253232384015,-0.032469597160796136,0.998473356065789,0.00289857975566201,-0.013736803099826191,0.15936768844458274,1.3081419031129982,-1.0773755270980712,-1.1899181196287794e-05,9.412787014781348e-05,0.00043852592747217756,1.7599606889617844e-05,9.323036141213141e-05,-0.0173957709533001,0.7064514140824398,-0.015991901718472375,0.7073669809747188,0.18,0.12,0.16,1.6712759599396385,-0.7008060932095831,-0.312206675953531,-0.04472273361645073,-0.1712759599396385,False
1782601026.7065094,TRACKING,Tracking AprilTag,Walk,4,72.65866088867188,-0.7002100504516495,-0.05472050428282486,2.1735230404597212,2.2841827544554616,-0.31165601869164256,-0.04751900274427909,-0.04748205555467815,-0.02833001540869607,0.9984702622648536,0.001029330886847637,-0.006170557368645654,0.1602622267741856,1.307976249867487,-1.0752397571896395,0.0005573738416082877,0.0008037531560445584,0.0025742958359038504,0.0007773816018600234,0.0005936013647645303,-0.017761203340858935,0.7064808545376019,-0.01568601119794071,0.70733534541998,0.18,0.12,0.16,1.6735230404597212,-0.7002100504516495,-0.31165601869164256,-0.04751900274427909,-0.17352304045972122,False
1782601026.7565312,TRACKING,Tracking AprilTag,Walk,4,72.30620574951172,-0.6964315588887998,-0.053729626145111405,2.1744010105257776,2.2838396492568167,-0.3099629229086135,-0.03155808951778917,-0.031531069314793554,-0.037151159912896935,0.9988120859225683,0.0014900211889505247,-0.038578032779714944,0.16225686386168758,1.3070102588969135,-1.07070202063141,0.0023523120985768213,0.002103719432429684,0.007112032394133383,0.0028849290558846004,0.0012791372099997516,-0.018860195436921225,0.7064333397635153,-0.012939681011738834,0.7074099194625145,0.18,0.12,0.16,1.6744010105257776,-0.6964315588887998,-0.3099629229086135,-0.03155808951778917,-0.1744010105257776,False
1782601026.8065405,TRACKING,Tracking AprilTag,Walk,4,72.71561431884766,-0.6794028709457489,-0.04918507750313181,2.173881628199826,2.278106399254223,-0.3029120506180813,0.0046622894507973725,0.004657428353594716,-0.04557373845186098,0.9989501202385695,0.009328414493750103,-0.10450202269222805,0.16445657039927247,1.3055321378538158,-1.0659522109647908,0.004695448918692169,0.003341968402452063,0.011861842060752581,0.0054951895235592785,0.001737494014723446,-0.01983608446238241,0.7063477091789281,-0.010619934450629353,0.707507357193652,0.18,0.12,0.16,1.673881628199826,-0.6794028709457489,-0.3029120506180813,0.0046622894507973725,-0.1738816281998261,False
1782601026.8565397,TRACKING,Tracking AprilTag,Walk,4,73.31201171875,-0.670423093162809,-0.04642050493452999,2.175824633050662,2.2772428111456215,-0.2988929483043059,0.009510857109541406,0.00950968962386153,-0.014674656239080198,0.9998470984443184,0.01088371613775347,-0.10711750027987268,0.16610863672290782,1.3039636840599447,-1.0607410575657736,0.006858988602220898,0.0040550367575171685,0.017072995459769702,0.0077731668803650775,0.0017512636581071936,-0.02154567591165343,0.7070399709931823,-0.008361919546449065,0.7067958273567896,0.18,0.12,0.16,1.675824633050662,-0.670423093162809,-0.2988929483043059,0.009510857109541406,-0.1758246330506621,False
1782601026.90652,TRACKING,Tracking AprilTag,Walk,4,73.63722229003906,-0.6483288731707523,-0.041093627228291595,2.1731449520911132,2.2681662189497316,-0.28993012482753355,0.045050871988664226,0.04502112455469764,-0.025382494067959335,0.9986635205807411,0.023035471444882577,-0.1665649366954593,0.16787119987595528,1.3010453820327095,-1.0540612845477915,0.01026393707653778,0.004226621948873526,0.023752768477751873,0.011066110632518769,0.0008682930834006384,-0.024292211685425193,0.7076479956804514,-0.005981499359727811,0.7061221029866434,0.18,0.12,0.16,1.6731449520911132,-0.6483288731707523,-0.28993012482753355,0.045050871988664226,-0.17314495209111325,False
