ux,uy,uz,theta_x,theta_y,theta_z
3.859074640891839696e-04,-2.285192913779497074e-03,-8.762694982558628335e-04,4.448227321485975772e-03,-1.948868298211996197e-03,1.631424140108259438e-03
-2.285192913779497074e-03,3.096854399006331374e-02,-4.328467266576209796e-04,-2.804868705991220637e-02,1.347458888784883093e-04,2.612922737831201853e-02
-8.762694982558628335e-04,-4.328467266576209796e-04,2.511434186270762245e-02,-1.362075531222687597e-01,-1.483812703744547684e-02,1.646567252429397520e-03
4.448227321485975772e-03,-2.804868705991220637e-02,-1.362075531222687597e-01,7.212359139337253922e+00,1.616294190081268289e-01,1.086099884934620119e-02
-1.948868298211996197e-03,1.347458888784883093e-04,-1.483812703744547684e-02,1.616294190081268289e-01,5.432542385547034502e-02,-5.877914786630589195e-02
1.631424140108259438e-03,2.612922737831201853e-02,1.646567252429397520e-03,1.086099884934620119e-02,-5.877914786630589195e-02,1.596042054781641184e-01
