ux,uy,uz,theta_x,theta_y,theta_z
9.079388491070074230e-05,8.291024509964127053e-05,-8.144413858225835483e-05,-2.450032672919799301e-04,-1.937812321176368181e-04,1.877807445000807471e-04
8.291024509964127053e-05,1.454067010462077245e-03,-8.142581471575339840e-05,-6.600332745103471531e-03,-3.589116714130878398e-04,5.144464571327096378e-03
-8.144413858225835483e-05,-8.142581471575339840e-05,1.121533952740491830e-03,-4.511131524285134226e-03,-6.091153138822705693e-04,3.932985555787857097e-04
-2.450032672919799301e-04,-6.600332745103471531e-03,-4.511131524285134226e-03,1.393482527298354423e+00,-2.128672619691634668e-02,9.953791794913732088e-03
-1.937812321176368181e-04,-3.589116714130878398e-04,-6.091153138822705693e-04,-2.128672619691634668e-02,1.352024387191763932e-01,-4.209236009545924695e-02
1.877807445000807471e-04,5.144464571327096378e-03,3.932985555787857097e-04,9.953791794913732088e-03,-4.209236009545924695e-02,6.294213744883439543e-02
