ux,uy,uz,theta_x,theta_y,theta_z
4.495099757913100132e-04,-2.255258625356803236e-04,-4.652624429671713851e-04,5.015694192823683464e-03,1.510418065427033066e-03,4.149032187383470266e-03
-2.255258625356803236e-04,1.725038790860194265e-02,4.720554274750213969e-04,-2.466099572556754507e-02,-3.519417220950455793e-04,1.584096087324839836e-02
-4.652624429671713851e-04,4.720554274750213969e-04,1.153215748509790230e-02,-7.128419465832257218e-02,-8.966465486898148388e-03,7.790024123309944280e-04
5.015694192823683464e-03,-2.466099572556754507e-02,-7.128419465832257218e-02,5.571226928811937817e+00,3.753788224410488372e-02,2.790791025053904195e-03
1.510418065427033066e-03,-3.519417220950455793e-04,-8.966465486898148388e-03,3.753788224410488372e-02,3.586145532189277674e-02,3.991051445781257367e-02
4.149032187383470266e-03,1.584096087324839836e-02,7.790024123309944280e-04,2.790791025053904195e-03,3.991051445781257367e-02,9.297813491418255305e-02
