ux,uy,uz,theta_x,theta_y,theta_z
2.631020532152441986e-04,4.079521353676921532e-04,-1.611913762155531044e-04,2.006614967844960740e-03,1.223210760424725541e-03,2.377683333162954916e-03
4.079521353676921532e-04,5.183995166764127950e-03,3.296262159444122725e-04,-1.411721277642957566e-02,-5.052031749355708791e-04,7.976097944232742043e-03
-1.611913762155531044e-04,3.296262159444122725e-04,2.627049423849192947e-03,-1.858752565259767439e-02,-2.859524645488932711e-03,4.149682075997042884e-04
2.006614967844960740e-03,-1.411721277642957566e-02,-1.858752565259767439e-02,2.931855963005445709e+00,-2.637850352554474767e-02,6.526738776451469770e-03
1.223210760424725541e-03,-5.052031749355708791e-04,-2.859524645488932711e-03,-2.637850352554474767e-02,1.073454178351367916e-01,7.473631725013252236e-03
2.377683333162954916e-03,7.976097944232742043e-03,4.149682075997042884e-04,6.526738776451469770e-03,7.473631725013252236e-03,6.886910275378205215e-02
