ux,uy,uz,theta_x,theta_y,theta_z
2.446622497160883393e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.325018332655653913e-03
0.000000000000000000e+00,7.413639268577998029e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.042905056506289625e-02
0.000000000000000000e+00,0.000000000000000000e+00,3.343389415595923991e-03,0.000000000000000000e+00,-8.438049527938718333e-03,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.404866850023252400e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-8.438049527938718333e-03,0.000000000000000000e+00,3.867578060137989715e-02,0.000000000000000000e+00
9.325018332655653913e-03,1.042905056506289625e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.419238977343124763e-01
