ux,uy,uz,theta_x,theta_y,theta_z
2.988258987481492665e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.230482735237802751e-03
0.000000000000000000e+00,4.213207180806585912e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.719582698442109689e-03
0.000000000000000000e+00,0.000000000000000000e+00,2.329743426447232566e-03,0.000000000000000000e+00,1.022235957888449794e-03,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.792258337253735068e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.022235957888449794e-03,0.000000000000000000e+00,5.537973670408248734e-03,0.000000000000000000e+00
4.230482735237802751e-03,6.719582698442109689e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.033707952061697688e-02
