ux,uy,uz,theta_x,theta_y,theta_z
1.032415506386356960e-03,-3.859831952961409067e-05,6.799136465786462084e-05,4.937643735680222710e-03,1.750998126338927999e-02,2.633301292068291818e-02
-3.859831952961409067e-05,1.747067879555497596e-02,4.682546673635796879e-04,1.216192505991418307e-03,5.919004487469146491e-04,1.513775801790095965e-02
6.799136465786462084e-05,4.682546673635796879e-04,6.912184154851161444e-03,6.372006025926471584e-02,-6.151169867620428361e-03,-3.727001250591266673e-03
4.937643735680222710e-03,1.216192505991418307e-03,6.372006025926471584e-02,2.288689386965359507e+00,-1.005457021542701113e-01,2.500055577364895462e-02
1.750998126338927999e-02,5.919004487469146491e-04,-6.151169867620428361e-03,-1.005457021542701113e-01,3.322712536739240163e-01,4.719228253015543273e-01
2.633301292068291818e-02,1.513775801790095965e-02,-3.727001250591266673e-03,2.500055577364895462e-02,4.719228253015543273e-01,7.153780902865972680e-01
