id34_t1_px,id34_t1_py,id34_t1_pz,id34_t1_qx,id34_t1_qy,id34_t1_qz,id34_t1_qw,id34_t2_px,id34_t2_py,id34_t2_pz,id34_t2_qx,id34_t2_qy,id34_t2_qz,id34_t2_qw,id35_t2_px,id35_t2_py,id35_t2_pz,id35_t2_qx,id35_t2_qy,id35_t2_qz,id35_t2_qw
-0.717821240,0.748293519,-4.640444279,0.646271288,0.040090520,0.760315835,0.051439643,-0.717235863,0.735159755,-4.640453339,0.662627637,0.047992982,0.746069431,0.044740267,-0.694922686,0.576807916,-4.623661041,-0.551325381,-0.466760844,-0.427535117,0.543496430
-0.716965020,0.748199522,-4.640971661,0.665318906,0.049823981,0.744013608,0.036222413,-0.716376245,0.738224626,-4.650922298,0.637783885,0.105337366,0.749771237,0.141346365,-0.646167040,0.612179279,-4.725365639,-0.342837840,-0.370431989,-0.406369925,0.761646807
-0.717853487,0.747536302,-4.640997887,0.646318674,0.043885164,0.759677589,0.056888167,-0.716251493,0.739949703,-4.656388760,0.637218058,0.148787469,0.733660102,0.183189645,-0.678741395,0.653035760,-4.790452480,-0.132022873,-0.180458739,-0.517586112,0.825899065
-0.717576027,0.747766137,-4.641324997,0.639945328,0.047100935,0.764844358,0.057139073,-0.715621173,0.743131816,-4.658438206,0.636544883,0.167245358,0.731571019,0.177886054,-0.690641880,0.688648105,-4.813071728,-0.074004903,-0.087515123,-0.515056252,0.849459529
-0.717876315,0.747846007,-4.641639709,0.647794306,0.049673937,0.757918239,0.058779117,-0.716218710,0.745699167,-4.658390522,0.639545500,0.163123727,0.728407443,0.183833733,-0.676702738,0.720254421,-4.817231655,-0.002934233,-0.081380069,-0.498058558,0.863311350
-0.717805028,0.748772621,-4.642101288,0.663326025,0.068951897,0.743411064,0.050834984,-0.715658188,0.750022173,-4.658386707,0.633130610,0.168010175,0.736530602,0.168644696,-0.684834778,0.775404990,-4.819719315,0.090793043,-0.007792794,-0.425459802,0.900377691
-0.717711568,0.748306274,-4.641601562,0.647334039,0.051778998,0.758293986,0.057164401,-0.715950847,0.751889467,-4.657278538,0.634034038,0.158556640,0.739161253,0.162792638,-0.691155791,0.805503786,-4.813356400,0.184012771,0.094751097,-0.447168291,0.870173573
-0.717041135,0.749198079,-4.642225742,0.655789554,0.061575592,0.750766993,0.049974050,-0.715765715,0.754609883,-4.654898643,0.626280665,0.141296044,0.753220558,0.143062145,-0.693537295,0.838811576,-4.797048092,0.258897364,0.148198828,-0.453642160,0.839772642
-0.717366993,0.748964608,-4.641682625,0.637253284,0.051432673,0.766467571,0.061566290,-0.717699349,0.757703960,-4.650591850,0.639160395,0.112287365,0.752679050,0.111084685,-0.724445879,0.885226727,-4.757901192,0.377530277,0.254372537,-0.427408487,0.781080961
-0.717430532,0.749761045,-4.642246246,0.674864769,0.072250910,0.733649671,0.033099759,-0.717567980,0.759797573,-4.647681236,0.647551835,0.091875017,0.750965834,0.091026865,-0.705544412,0.908017516,-4.720365047,0.488668084,0.275695086,-0.353057265,0.748696387
-0.717071772,0.749610066,-4.641710281,0.648644388,0.050760530,0.757173181,0.058073882,-0.719043732,0.759887397,-4.635313988,0.655750036,0.022271117,0.754357100,-0.021006571,-0.720687211,0.915262461,-4.583629131,0.697477102,0.474242002,-0.224232778,0.488200665
-0.717746019,0.749473095,-4.640758038,0.645229161,0.042080231,0.760995924,0.052857250,-0.718481660,0.760268569,-4.638592720,0.646452010,0.032501034,0.762126148,0.014395197,-0.720771730,0.924944997,-4.631971359,0.630438507,0.381127685,-0.272219330,0.619019866
-0.717759311,0.749557197,-4.640773773,0.640699387,0.037193466,0.764886200,0.055407155,-0.720393658,0.760201037,-4.633234501,0.679844201,0.040168796,0.729532361,-0.063094236,-0.729295671,0.907373607,-4.563401699,0.738128960,0.454695344,-0.169771224,0.468610197
-0.717856586,0.749434829,-4.640438557,0.642594934,0.037568111,0.763539255,0.051654749,-0.718700171,0.757931471,-4.633893490,0.645901144,0.013138328,0.763235748,0.010502709,-0.740279853,0.874488592,-4.534615517,-0.714651823,-0.571898460,0.153267100,-0.372443467
-0.717572510,0.749621749,-4.640454292,0.645314395,0.042597216,0.761114478,0.049593724,-0.719438553,0.754523695,-4.627648354,0.643583715,-0.035411529,0.763260782,-0.044485956,-0.715204477,0.826223314,-4.490141869,-0.766890407,-0.608119071,0.094475612,-0.182056814
-0.717848182,0.749422193,-4.639945030,0.642544091,0.034521241,0.763833702,0.050034568,-0.719847441,0.751855135,-4.624797344,0.644974709,-0.060223173,0.758012652,-0.076141804,-0.729201138,0.797946572,-4.466303349,-0.784576535,-0.608708024,0.060239092,-0.101417080
-0.717841923,0.748914719,-4.639751911,0.645002604,0.033047874,0.762102664,0.045596220,-0.720032394,0.747370064,-4.622632027,0.643403888,-0.077203445,0.755692482,-0.094868079,-0.732877970,0.730985522,-4.458637714,-0.790176511,-0.606963217,-0.060031872,0.060107097
-0.717704237,0.748810649,-4.639400959,0.644873917,0.027993167,0.762360096,0.046487894,-0.719855607,0.744726062,-4.623628139,0.645630777,-0.075159445,0.754778266,-0.088440694,-0.720076680,0.688418150,-4.467597485,-0.819862008,-0.531291902,-0.139350832,0.161667988
-0.717683613,0.748891652,-4.639779568,0.662500918,0.043797415,0.747383773,0.024327073,-0.719486356,0.740815997,-4.625484467,0.646645069,-0.070725039,0.756112039,-0.071712732,-0.707051635,0.637664497,-4.497677803,-0.769844294,-0.521196246,-0.207144529,0.304606915
-0.717726231,0.748482466,-4.639628410,0.661284268,0.041497998,0.748618543,0.023480535,-0.718785703,0.737686992,-4.629415035,0.655688584,-0.043736923,0.751939058,-0.052414425,-0.708880007,0.603226483,-4.537167549,-0.743587971,-0.499942839,-0.260836273,0.359302819
-0.717686117,0.748261631,-4.639673233,0.660610735,0.041550044,0.749215961,0.023291742,-0.718365729,0.735461056,-4.633451462,0.628079236,-0.045126114,0.776718199,0.013749459,-0.718673944,0.579787135,-4.588705540,-0.639314055,-0.452567488,-0.405730575,0.471002042
-0.717623115,0.748109818,-4.640093803,0.661298990,0.044908680,0.748397171,0.023843486,-0.716935992,0.735557556,-4.643684864,0.636194110,0.039292511,0.766022325,0.083204210,-0.725615740,0.581702054,-4.689603329,-0.503702819,-0.256454915,-0.460278928,0.684585750
-0.717618227,0.747874498,-4.641210556,0.666284204,0.054711744,0.743031979,0.031231735,-0.716214001,0.737560093,-4.650418282,0.662711918,0.104999833,0.734179556,0.103770420,-0.687399089,0.607280195,-4.735219955,-0.310782880,-0.282685488,-0.504744768,0.754145682
