ux,uy,uz,theta_x,theta_y,theta_z
5.708341219176779830e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.142785410254231089e-02
0.000000000000000000e+00,1.217153417012795981e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.362357446484192131e-02
0.000000000000000000e+00,0.000000000000000000e+00,5.860804700310367696e-03,0.000000000000000000e+00,2.404417893375273337e-03,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.241893173791130067e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.404417893375273337e-03,0.000000000000000000e+00,1.277968912923774930e-02,0.000000000000000000e+00
1.142785410254231089e-02,1.362357446484192131e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.595811230981172057e-01
