id34_t1_px,id34_t1_py,id34_t1_pz,id34_t1_qx,id34_t1_qy,id34_t1_qz,id34_t1_qw,id34_t2_px,id34_t2_py,id34_t2_pz,id34_t2_qx,id34_t2_qy,id34_t2_qz,id34_t2_qw,id35_t2_px,id35_t2_py,id35_t2_pz,id35_t2_qx,id35_t2_qy,id35_t2_qz,id35_t2_qw
0.794540882,0.426409692,4.764587879,0.527296364,-0.519605279,-0.484457105,-0.466122508,0.664221942,0.428260148,4.761333942,0.564704001,-0.484505862,-0.489060402,-0.455174029,0.507963121,0.491268903,4.752332211,-0.383733362,-0.628976762,0.257651210,0.625102222
0.790145814,0.426770538,4.762989044,0.531375945,-0.520975828,-0.484656841,-0.459708124,0.657997906,0.429059058,4.783972263,0.607529342,-0.449793488,-0.455348998,-0.470373452,0.499460340,0.473242581,4.813897133,-0.278732151,-0.599850237,0.290501863,0.691445410
0.787253022,0.427098513,4.763431549,0.534565091,-0.519923508,-0.487983227,-0.453643143,0.666361451,0.429479241,4.801441669,0.621718168,-0.407405198,-0.418940246,-0.521513760,0.515419722,0.469772696,4.865247726,-0.261701792,-0.473296404,0.357126772,0.761553228
0.784674823,0.427082360,4.765256405,0.538796902,-0.515713811,-0.480804443,-0.461046964,0.671740353,0.429634243,4.808875561,0.627528429,-0.394807756,-0.406806350,-0.533707440,0.528230011,0.475750476,4.886874199,-0.235452607,-0.442929238,0.333856463,0.798069954
0.786695182,0.426932007,4.764896870,0.534128726,-0.517929018,-0.484826356,-0.459782094,0.684635222,0.430164814,4.825379372,0.640150189,-0.371399045,-0.371868849,-0.560342789,0.555442154,0.459279448,4.931198597,-0.161244243,-0.401884049,0.346081436,0.832296312
0.785203636,0.427712768,4.766943932,0.537012398,-0.523000479,-0.472921789,-0.463069290,0.716301680,0.429537475,4.850684643,0.663043976,-0.312757283,-0.311629832,-0.604518294,0.632519603,0.451907009,4.995273113,-0.061291784,-0.251078010,0.270290852,0.927440584
0.786803722,0.427305073,4.770548344,0.538556039,-0.521724105,-0.469463706,-0.466224432,0.761277080,0.428532451,4.858417034,0.659485817,-0.312290400,-0.288834631,-0.619780421,0.730074465,0.439721972,5.022330284,0.018899839,-0.111348003,0.233149081,0.965860188
0.788596988,0.427322149,4.772006035,0.543784976,-0.505298674,-0.476880968,-0.470697016,0.791536272,0.427307159,4.859682560,0.657492399,-0.312384158,-0.272131920,-0.629336298,0.794414878,0.426553100,5.025959015,0.069008932,-0.031540137,0.266841829,0.960748911
0.789770246,0.427820623,4.773447990,0.554430127,-0.499900222,-0.478196949,-0.462638885,0.804245472,0.427352339,4.858186245,0.656245172,-0.327726096,-0.267153531,-0.624953568,0.820929050,0.433896184,5.023882389,0.100631855,0.019439274,0.369394928,0.923603117
0.791904688,0.428321332,4.774518490,0.560829997,-0.490444958,-0.482185781,-0.460901678,0.830642521,0.426051706,4.856987000,0.654074669,-0.319225401,-0.236064196,-0.643859625,0.876498461,0.409342438,5.014786243,0.183737129,0.053701147,0.319034189,0.928210139
0.794066489,0.427332550,4.775857925,0.554660499,-0.501716495,-0.467708051,-0.471042991,0.847150862,0.424258411,4.855111122,0.654689014,-0.316948980,-0.243814200,-0.641467273,0.909247875,0.420621723,5.008171082,0.174197033,0.095192298,0.414350331,0.888204753
0.795753300,0.427596867,4.776402473,0.563709736,-0.493376315,-0.466947585,-0.469863057,0.870480239,0.422607452,4.842243195,0.641561389,-0.351066709,-0.268201530,-0.627071857,0.972471058,0.413476944,4.971885681,0.009908272,0.209909692,-0.207677573,0.955358446
0.797117829,0.427562714,4.776218414,0.562278211,-0.495835990,-0.465532273,-0.470393211,0.889215171,0.420770437,4.827462196,0.618102849,-0.396580428,-0.308154553,-0.604742706,1.008679271,0.403229177,4.939389706,0.308065742,0.254095793,0.367369711,0.839982331
0.798840582,0.426798373,4.776196957,0.556803524,-0.498883158,-0.461586833,-0.477517575,0.914435029,0.417986691,4.762584209,0.476201147,-0.575606048,-0.485310018,-0.454295427,1.078792334,0.429038405,4.764102459,0.475015223,0.535223842,0.375745535,0.588822067
0.801400483,0.426269174,4.766842842,0.524311423,-0.526103914,-0.486040413,-0.460518122,0.902476192,0.416357726,4.711559772,0.316552401,-0.672153652,-0.599585414,-0.297491759,1.047415257,0.404689819,4.634644985,0.833744943,0.322832167,0.391795248,0.217129558
0.800792813,0.426279396,4.766619205,0.522305012,-0.527036309,-0.485417277,-0.462385505,0.902425468,0.415938318,4.704647541,0.291128725,-0.683227658,-0.609847486,-0.276640892,1.043461919,0.413540184,4.619171619,0.845841467,0.322212279,0.380271226,0.190066531
0.800842464,0.426437408,4.763465405,0.514836609,-0.534631848,-0.499479741,-0.446802109,0.810179412,0.419965923,4.663673878,0.173450887,-0.709336400,-0.667274833,-0.146631956,0.826226711,0.414673358,4.502837658,0.620642006,0.779269755,-0.045866434,0.073745571
0.798300624,0.426241487,4.760364056,0.510152161,-0.537015975,-0.500526130,-0.448143095,0.761394978,0.422589600,4.671707630,0.259304047,-0.686026990,-0.651904643,-0.192740023,0.721445143,0.416328251,4.518109322,0.701401174,0.688856959,-0.161346480,-0.086485907
0.794683814,0.427406460,4.760276318,0.502243876,-0.543255627,-0.495478183,-0.455110848,0.796462119,0.421294719,4.671697140,0.310146540,-0.681189716,-0.616667628,-0.243948251,0.792997241,0.429662406,4.516204834,-0.724892199,-0.686090231,0.057764925,0.021788646
