id34_t1_px,id34_t1_py,id34_t1_pz,id34_t1_qx,id34_t1_qy,id34_t1_qz,id34_t1_qw,id34_t2_px,id34_t2_py,id34_t2_pz,id34_t2_qx,id34_t2_qy,id34_t2_qz,id34_t2_qw,id35_t2_px,id35_t2_py,id35_t2_pz,id35_t2_qx,id35_t2_qy,id35_t2_qz,id35_t2_qw
-0.338996917,0.689882815,-4.523806572,0.672946930,0.034250591,0.736992061,0.053029932,-0.337807685,0.690020502,-4.585361004,0.614587128,0.354496449,0.615008414,0.344063431,-0.301362067,0.684739530,-4.746198177,-0.025997525,0.031078989,0.525683522,-0.849714696
-0.338386297,0.690022528,-4.525671482,0.674664319,0.049879849,0.733143508,0.069575936,-0.340960085,0.747558892,-4.519611359,0.680603087,0.042078260,0.731442630,-0.000755315,-0.365456522,0.910086334,-4.519608974,-0.571811140,-0.439219415,0.318686098,-0.615270317
-0.339046180,0.692511201,-4.524031639,0.677322924,0.045191251,0.732049167,0.057406131,-0.344518840,0.693023860,-4.454771042,0.586734951,-0.313725650,0.656686366,-0.355079591,-0.326511204,0.701666296,-4.293889999,-0.831164956,-0.555980682,0.006927477,-0.001515118
-0.338327080,0.690520763,-4.519309998,0.665699780,0.008237081,0.745324373,0.035602544,-0.340265661,0.626250923,-4.522333145,0.673488081,0.017451772,0.734763741,0.078939788,-0.315696597,0.467153281,-4.519113541,-0.582150638,-0.404175371,-0.384951711,0.591231763
-0.337961853,0.687645078,-4.521207333,0.665695250,0.016396692,0.744363368,0.050041538,-0.338535488,0.646509469,-4.571198940,0.634917855,0.287908882,0.635754526,0.331367046,-0.319097877,0.537681878,-4.695056915,-0.270204693,-0.174574763,-0.495613188,0.806771755
-0.338181913,0.687276125,-4.524529457,0.664999664,0.042799357,0.742416680,0.069001392,-0.338250399,0.728740156,-4.566133022,0.642934799,0.265405357,0.677057385,0.240391657,-0.370637715,0.836717784,-4.688468456,0.295224011,0.275727212,-0.408513904,0.818494797
-0.338665515,0.690123200,-4.525394917,0.674076736,0.051882822,0.733341932,0.071682446,-0.343485296,0.733186245,-4.477298260,0.642295897,-0.163938731,0.713003337,-0.228487104,-0.347070068,0.854899764,-4.367439270,0.735851586,0.560990214,-0.191459715,0.327346534
-0.338947088,0.690919101,-4.521189690,0.669120193,0.023222798,0.741103888,0.050038807,-0.342653751,0.637027562,-4.485888481,0.638685703,-0.210141256,0.716350973,-0.186447084,-0.317124665,0.501644254,-4.395755291,0.675869703,0.526606083,0.284773350,-0.429872453
-0.339257449,0.687385201,-4.519804001,0.671026587,0.012442139,0.740499914,0.035048425,-0.338209629,0.720864534,-4.561012745,0.650601566,0.241493866,0.684113562,0.224470422,-0.239760578,0.794352949,-4.648415089,-0.385754347,0.145686269,0.358820826,-0.837386847
-0.339249194,0.690418780,-4.521383762,0.673445344,0.029428303,0.737036169,0.048815891,-0.342907965,0.720454574,-4.485962391,0.665977061,-0.111776069,0.720497668,-0.157682657,-0.252702981,0.800187886,-4.376376152,0.824887276,0.439924836,-0.332231432,0.125097632
