stamp_sec,state,message,requested_mode,tag_id,tag_margin,tag_x_camera_m,tag_y_camera_m,tag_z_camera_m,tag_range_m,tag_bearing_rad,tag_face_yaw_error_rad,tag_face_normal_x_camera,tag_face_normal_y_camera,tag_face_normal_z_camera,tag_rotation_camera_tag_00,tag_rotation_camera_tag_01,tag_rotation_camera_tag_02,tag_rotation_camera_tag_10,tag_rotation_camera_tag_11,tag_rotation_camera_tag_12,tag_rotation_camera_tag_20,tag_rotation_camera_tag_21,tag_rotation_camera_tag_22,tag_aligned_rel_x_m,tag_aligned_rel_y_m,odom_x,odom_y,odom_yaw,odom_rel_x,odom_rel_y,odom_rel_yaw,odom_tag_aligned_rel_x_m,odom_tag_aligned_rel_y_m,imu_x,imu_y,imu_z,imu_w,cmd_heading,cmd_lateral,cmd_turning,range_error_m,lateral_error_m,yaw_error_rad,cmd_face_yaw_error_rad,cmd_face_blend,target_reached
1782605562.515758,TRACKING,Tracking AprilTag,Walk,2,70.72850036621094,1.9505998260073503,-0.07453043842038108,5.313054953623811,5.660295699669546,0.35185613493453943,0.9067021128227148,0.7874498678334012,-0.008050370198693757,0.6163261289194406,0.6163579899086439,-0.005053110421803435,0.7874498678334012,0.018481704961553568,0.9997967884132145,-0.008050370198693757,-0.7872491694866943,0.019515326122998607,0.6163261289194406,0.0576246808716162,-0.09366706048529937,1.9009917225075375,-2.305553750510135,-1.7995501295652325,-2.6887988251813047e-06,-6.7260896940666725e-06,-7.211833159104231e-06,3.5175050806065374e-06,-6.33222549368178e-06,-0.07531694188629195,0.7089191896347496,0.052673031481256044,0.6992756914029554,0.5,-0.4,0.13668053497027194,4.813054953623811,1.9505998260073503,0.35185613493453943,0.9067021128227148,-1.0,False
1782605562.565873,TRACKING,Tracking AprilTag,Walk,2,71.26386260986328,1.949715909292171,-0.07439545454502874,5.310766033705825,5.657840813894242,0.35184890398978264,0.9065631557407453,0.7873746196086427,-0.006195725114961054,0.6164436887392432,0.6164465143909429,-0.005907900761029585,0.7873746196086427,0.01749582407921815,0.9998277397282438,-0.006195725114961054,-0.7872023825135733,0.017595100980356288,0.6164436887392432,0.05929970483287629,-0.09168578923209936,1.9009677270166427,-2.305536520845202,-1.7995455723172729,-1.402851060086522e-05,-3.4003477285738214e-05,-2.6545851994352883e-06,1.7507666230236195e-05,-3.234991808909181e-05,-0.07531694188629195,0.7089191896347496,0.052673031481256044,0.6992756914029554,0.5,-0.4,0.13661756427956828,4.810766033705825,1.949715909292171,0.35184890398978264,0.9065631557407453,-1.0,False
1782605562.6157546,TRACKING,Tracking AprilTag,Walk,2,71.1463623046875,1.950644583455595,-0.07445723242571121,5.3132001488347695,5.66044644811723,0.35185471710926797,0.9074856413692594,0.7879444374999778,-0.00588206458162445,0.6157182510930639,0.6157184473435143,-0.0058614856252966,0.7879444374999778,0.017045571282857264,0.9998374116904701,-0.00588206458162445,-0.7877818493088888,0.017052658747708827,0.6157182510930639,0.0598105955734275,-0.0974405011012095,1.9009426872954172,-2.3055178665264355,-1.799540994148903,-2.6518979465543366e-05,-6.262094459576525e-05,1.923583170526655e-06,3.1810253966706425e-05,-6.010612877680153e-05,-0.07531694188629195,0.7089191896347496,0.052673031481256044,0.6992756914029554,0.5,-0.4,0.1370735752862885,4.8132001488347695,1.950644583455595,0.35185471710926797,0.9074856413692594,-1.0,False
1782605562.6658268,TRACKING,Tracking AprilTag,Walk,2,71.66191101074219,1.9494524528312382,-0.07434464975411219,5.310188671816397,5.657207413829194,0.3518403587878615,0.9077930066749269,0.7881155078598714,-0.008979787516238777,0.6154618669641035,0.6155115826954038,-0.004408836419701245,0.7881155078598714,0.01865927656621126,0.9997855744179291,-0.008979787516238777,-0.7879069253191169,0.020232828453665946,0.6154618669641035,0.06355943933671994,-0.097370269037773,1.9009244055435854,-2.3054995557777413,-1.7995423680888785,-4.020724426156584e-05,-8.457857139494373e-05,5.496431949580939e-07,4.019243288761773e-05,-8.458561088561787e-05,-0.07531694188629195,0.7089191896347496,0.052673031481256044,0.6992756914029554,0.5,-0.4,0.1372401804283881,4.810188671816397,1.9494524528312382,0.3518403587878615,0.9077930066749269,-1.0,False
1782605562.715872,TRACKING,Tracking AprilTag,Walk,2,71.95122528076172,1.950385912230248,-0.07431869369260044,5.312799348568257,5.659979274962558,0.3518362185978218,0.9081962562609631,0.7883664749043475,-0.008568322790602802,0.6151462306569463,0.6151917527170658,-0.0041723657315000905,0.7883664749043475,0.017761182221154585,0.9998055432186116,-0.008568322790602802,-0.7881774215206951,0.019273482133221928,0.6151462306569463,0.06239854161045404,-0.10075750022241936,1.9009137848431161,-2.3054824034465717,-1.7995414686727804,-5.450446329505493e-05,-9.881202743763736e-05,1.4490592930016533e-06,4.220075884389877e-05,-0.00010465968296539736,-0.07531694188629195,0.7089191896347496,0.052673031481256044,0.6992756914029554,0.5,-0.4,0.13744553139244192,4.812799348568257,1.950385912230248,0.3518362185978218,0.9081962562609631,-1.0,False
1782605562.7658126,TRACKING,Tracking AprilTag,Walk,2,71.73380279541016,1.9508904249594279,-0.07427596896201624,5.313873973388389,5.661161274404583,0.35185446157515127,0.9080351215527224,0.7882752322271697,-0.0073076371301851045,0.6152794135161481,0.6153019135661044,-0.005070840077520242,0.7882752322271697,0.017601681700856298,0.999818373126277,-0.0073076371301851045,-0.7880950044018752,0.01837137284018083,0.6152794135161481,0.06085264983528996,-0.10050330215328475,1.9007954418593034,-2.3055046186390733,-1.799233909905344,-6.03285274449558e-06,-0.00020903489061139304,0.00030900782672937943,0.00015827591252737995,-0.00013667741700361106,-0.0754412943857601,0.7089406426299382,0.052735662094900264,0.6992358159249739,0.5,-0.4,0.13734854535872504,4.813873973388389,1.9508904249594279,0.35185446157515127,0.9080351215527224,-1.0,False
1782605562.8158805,TRACKING,Tracking AprilTag,Walk,2,67.28282928466797,1.9450824766501682,-0.07206369706439986,5.285914317371122,5.632888174639645,0.3525972798123934,-0.18635159065650989,-0.18506110113977614,-0.04802601226491042,0.9815527958244856,0.9827269800271077,-0.0002675289409833437,-0.18506110113977614,-0.008772056693282963,0.9988075656337914,-0.04802601226491042,0.18485327627112957,0.04881982446675974,0.9815527958244856,0.039113119882915104,5.773066152539091,1.900146810636465,-2.305710944527931,-1.797582808880951,0.0003420001641665562,-0.000793984336968549,0.0019601088511225218,0.0008316181278759346,-0.00023619172091642683,-0.07580585736474217,0.7090472182014572,0.05340589790189163,0.6990374270518456,0.5,-0.4,-0.410513347159409,4.785914317371122,1.9450824766501682,0.3525972798123934,-0.18635159065650989,-1.0,False
1782605562.8658843,TRACKING,Tracking AprilTag,Walk,2,69.9803695678711,1.9705871532440342,-0.07159218460341904,5.338764443787919,5.691286757463627,0.35359617114904907,-0.18645783796340634,-0.18531797108517095,-0.02572046012492867,0.9823419504041542,0.9826751315860945,-0.0026144512096130433,-0.18531797108517095,-0.0021908394862080356,0.9996667735567225,-0.02572046012492867,0.1853234631248763,0.02568085846627653,0.9823419504041542,-0.011115426999716682,5.812245247513102,1.8983821722289662,-2.30641043291467,-1.7927643780168332,0.0014234118530469628,-0.002354042499844321,0.006778539715240228,0.00272416649031488,-0.0003827980244376875,-0.07672098433867788,0.7093486714272986,0.05529770231570578,0.6984844429370165,0.5,-0.4,-0.41146547301584735,4.838764443787919,1.9705871532440342,0.35359617114904907,-0.18645783796340634,-1.0,False
1782605562.9157927,TRACKING,Tracking AprilTag,Walk,2,42.397159576416016,1.996158022165097,-0.05184040585581502,5.293890810013917,5.657969086649659,0.36058267637784847,-0.23370403212346774,-0.2314119163237984,-0.03836881304582604,0.9720989451536308,0.9728331467950078,-0.006647817707356417,-0.2314119163237984,-0.0022985396574948095,0.9992610023917161,-0.03836881304582604,0.231495972345883,0.03785836260104741,0.9720989451536308,0.18441868026579034,6.05231124068302,1.8951775674324551,-2.3080004842600728,-1.784601694150791,0.003698710939438255,-0.005114616579688225,0.01494122358128247,0.0063014996358164484,-0.0003617564243341832,-0.07995673009250771,0.709539684981223,0.05883838764059346,0.6976377289750864,0.5,-0.4,-0.4413764248017975,4.793890810013917,1.996158022165097,0.36058267637784847,-0.23370403212346774,-1.0,False
1782605562.9659781,TRACKING,Tracking AprilTag,Walk,2,42.397159576416016,1.996158022165097,-0.05184040585581502,5.293890810013917,5.657969086649659,0.36058267637784847,-0.23370403212346774,-0.2314119163237984,-0.03836881304582604,0.9720989451536308,0.9728331467950078,-0.006647817707356417,-0.2314119163237984,-0.0022985396574948095,0.9992610023917161,-0.03836881304582604,0.231495972345883,0.03785836260104741,0.9720989451536308,0.18441868026579034,6.05231124068302,1.8906574074053384,-2.310905510141289,-1.775485808848436,0.0075530425703590675,-0.008858297885590843,0.024057108883637435,0.011638247172006207,0.00026286167999354983,-0.08355440367515686,0.708534019185461,0.06048386708698353,0.6980973478717635,0.5,-0.4,-0.4413764248017975,4.793890810013917,1.996158022165097,0.36058267637784847,-0.23370403212346774,-1.0,False
