frame_index,stamp_sec
0,1782601423.074724
1,1782601423.1385748
2,1782601423.1754267
3,1782601423.2052593
4,1782601423.2385988
5,1782601423.2712867
6,1782601423.3227305
7,1782601423.3548343
8,1782601423.436076
9,1782601423.4712005
10,1782601423.5045867
11,1782601423.5386138
12,1782601423.5723124
13,1782601423.6045177
14,1782601423.6422172
15,1782601423.6775408
16,1782601423.7139642
17,1782601423.745913
18,1782601423.7828052
19,1782601423.815934
20,1782601423.871962
21,1782601423.9055445
22,1782601423.9451203
23,1782601423.9757378
24,1782601424.0064886
25,1782601424.0569084
26,1782601424.0905452
27,1782601424.1381893
28,1782601424.172022
29,1782601424.205175
30,1782601424.2396934
31,1782601424.2734854
32,1782601424.3040183
33,1782601424.3458245
34,1782601424.3981059
35,1782601424.4385223
36,1782601424.4716
37,1782601424.5046823
38,1782601424.539119
39,1782601424.5872
40,1782601424.6608531
41,1782601424.726661
42,1782601424.7714622
43,1782601424.8050737
44,1782601424.839282
45,1782601424.879575
46,1782601424.9524107
47,1782601425.0169868
48,1782601425.0526493
49,1782601425.1049514
50,1782601425.1387136
51,1782601425.1713958
52,1782601425.2046714
53,1782601425.2588644
54,1782601425.3022058
55,1782601425.346746
56,1782601425.3843544
57,1782601425.4387023
58,1782601425.4717906
59,1782601425.5041673
60,1782601425.5436475
61,1782601425.5822291
62,1782601425.6100745
63,1782601425.642603
64,1782601425.6839008
65,1782601425.7150364
66,1782601425.7478077
67,1782601425.8055515
68,1782601425.8377674
69,1782601425.8714137
70,1782601425.9056575
71,1782601425.942855
72,1782601425.9720602
73,1782601426.0055246
74,1782601426.038
75,1782601426.0872548
76,1782601426.1196213
77,1782601426.1799512
78,1782601426.2115765
79,1782601426.2502885
80,1782601426.2858734
81,1782601426.3384328
82,1782601426.3723757
83,1782601426.4059799
84,1782601426.4391232
85,1782601426.4719393
86,1782601426.5047634
87,1782601426.537596
88,1782601426.5710242
89,1782601426.605842
90,1782601426.6408072
91,1782601426.6814203
92,1782601426.712117
93,1782601426.7399206
94,1782601426.7795765
95,1782601426.8174064
96,1782601426.8548076
97,1782601426.905835
98,1782601426.9386702
99,1782601426.9719367
100,1782601427.0205877
101,1782601427.0710907
102,1782601427.106473
103,1782601427.1396437
104,1782601427.1793804
105,1782601427.2078362
106,1782601427.244583
107,1782601427.2801373
108,1782601427.3083332
109,1782601427.3591943
110,1782601427.4080813
111,1782601427.4389122
112,1782601427.4720285
113,1782601427.5046315
114,1782601427.5397503
115,1782601427.5712476
116,1782601427.6050687
117,1782601427.6383812
118,1782601427.6717274
119,1782601427.7067847
120,1782601427.7382526
121,1782601427.771059
122,1782601427.8040864
123,1782601427.8381414
124,1782601427.8747363
125,1782601427.913875
126,1782601427.972996
127,1782601428.0304675
128,1782601428.0723727
129,1782601428.1051142
130,1782601428.1382394
131,1782601428.1730778
132,1782601428.2054927
133,1782601428.2386463
134,1782601428.2709525
135,1782601428.30811
136,1782601428.345493
137,1782601428.3741636
138,1782601428.4330199
139,1782601428.4720585
140,1782601428.50528
141,1782601428.5384767
142,1782601428.5722475
143,1782601428.6052759
144,1782601428.6426046
145,1782601428.6717484
146,1782601428.7211068
147,1782601428.758757
148,1782601428.8127518
149,1782601428.8719187
150,1782601428.9050567
151,1782601428.9386034
152,1782601428.9724314
153,1782601429.0060272
154,1782601429.0389585
155,1782601429.0713937
156,1782601429.1051967
157,1782601429.1389363
158,1782601429.1816328
159,1782601429.2517116
160,1782601429.3056684
161,1782601429.3403041
162,1782601429.3741639
163,1782601429.4142416
164,1782601429.4748127
165,1782601429.5168276
166,1782601429.5529473
167,1782601429.6053472
168,1782601429.6391704
169,1782601429.6712866
170,1782601429.7282636
171,1782601429.7804813
