frame_index,stamp_sec
0,1784751901.5565403
1,1784751901.5945525
2,1784751901.6505804
3,1784751901.69282
4,1784751901.7196264
5,1784751901.747767
6,1784751901.7914119
7,1784751901.8181398
8,1784751901.8515658
9,1784751901.9026058
10,1784751901.9395742
11,1784751902.008936
12,1784751902.0383086
13,1784751902.0664225
14,1784751902.1183243
15,1784751902.1525667
16,1784751902.1857407
17,1784751902.2479608
18,1784751902.3160129
19,1784751902.4191532
20,1784751902.4969997
21,1784751902.5279012
22,1784751902.5550456
23,1784751902.6077578
24,1784751902.6382046
25,1784751902.6704445
26,1784751902.7187672
27,1784751902.7517135
28,1784751902.7852452
29,1784751902.843665
30,1784751902.9414747
31,1784751903.046604
32,1784751903.1034882
33,1784751903.1336012
34,1784751903.1606038
35,1784751903.1875446
36,1784751903.2153006
37,1784751903.2467363
38,1784751903.2738113
39,1784751903.3216176
40,1784751903.3520527
41,1784751903.386029
42,1784751903.4193773
43,1784751903.454311
44,1784751903.4910114
45,1784751903.5271647
46,1784751903.5890744
47,1784751903.6306696
48,1784751903.6856728
49,1784751903.729253
50,1784751903.8130496
51,1784751903.9163086
52,1784751903.9661405
53,1784751904.0150592
54,1784751904.1199763
55,1784751904.2208183
56,1784751904.3161
57,1784751904.4204352
58,1784751904.4570065
59,1784751904.5080755
60,1784751904.5581787
61,1784751904.5875576
62,1784751904.6314154
63,1784751904.7020304
64,1784751904.7458067
65,1784751904.7788444
66,1784751904.8076334
67,1784751904.851947
68,1784751904.885601
69,1784751904.9181077
70,1784751904.9523497
71,1784751905.0112278
72,1784751905.0529296
73,1784751905.1052988
74,1784751905.1525457
75,1784751905.1859214
76,1784751905.2189517
77,1784751905.2605667
78,1784751905.3318217
79,1784751905.3852925
80,1784751905.4242022
81,1784751905.465297
82,1784751905.4922574
83,1784751905.5191293
84,1784751905.5782037
85,1784751905.618503
86,1784751905.6681328
87,1784751905.7188792
88,1784751905.7521255
89,1784751905.78525
90,1784751905.8256717
91,1784751905.8593853
92,1784751905.9003918
93,1784751905.965517
94,1784751906.0190618
95,1784751906.0520859
96,1784751906.0951273
97,1784751906.1315763
98,1784751906.2002873
99,1784751906.227379
100,1784751906.2638814
101,1784751906.3188052
102,1784751906.3524928
103,1784751906.3884559
104,1784751906.4367924
105,1784751906.4732292
106,1784751906.5300815
107,1784751906.5889628
108,1784751906.641141
109,1784751906.6683006
110,1784751906.7181773
111,1784751906.763477
112,1784751906.8002334
113,1784751906.8459127
114,1784751906.8802323
115,1784751906.9205568
116,1784751906.9519558
117,1784751906.9852154
118,1784751907.0258596
119,1784751907.0947316
120,1784751907.137599
121,1784751907.1975448
122,1784751907.2515614
123,1784751907.2860668
124,1784751907.320213
125,1784751907.355653
126,1784751907.4048152
127,1784751907.4430075
128,1784751907.4866455
129,1784751907.5191157
130,1784751907.5511742
131,1784751907.5861468
132,1784751907.6244273
133,1784751907.6630478
134,1784751907.6904957
135,1784751907.7618647
136,1784751907.8113208
137,1784751907.8622296
138,1784751907.914443
139,1784751907.958181
140,1784751907.9867637
141,1784751908.0608916
142,1784751908.1084354
143,1784751908.1356564
144,1784751908.190145
145,1784751908.2313867
146,1784751908.2950795
147,1784751908.35883
148,1784751908.4269245
149,1784751908.4745407
150,1784751908.5018606
151,1784751908.5542812
152,1784751908.596833
153,1784751908.6917372
154,1784751908.736969
155,1784751908.7643275
156,1784751908.791017
157,1784751908.8310595
158,1784751908.904745
159,1784751908.938638
160,1784751908.9900062
161,1784751909.0182343
162,1784751909.051944
163,1784751909.0860837
164,1784751909.1230443
165,1784751909.151624
166,1784751909.1941934
167,1784751909.2402368
168,1784751909.2859247
169,1784751909.318188
170,1784751909.3523364
171,1784751909.386026
172,1784751909.4257526
173,1784751909.4582472
174,1784751909.4971347
175,1784751909.5472212
176,1784751909.5833182
177,1784751909.6103275
178,1784751909.6550057
179,1784751909.686393
180,1784751909.722124
181,1784751909.758049
182,1784751909.7921095
183,1784751909.8605778
184,1784751909.9084368
185,1784751909.935537
186,1784751909.987149
187,1784751910.0265212
188,1784751910.0541036
