frame_index,stamp_sec
0,1782604997.4371517
1,1782604997.4719863
2,1782604997.504695
3,1782604997.5388849
4,1782604997.5711367
5,1782604997.6048698
6,1782604997.6376405
7,1782604997.671368
8,1782604997.7042568
9,1782604997.737407
10,1782604997.7718616
11,1782604997.8050058
12,1782604997.8383253
13,1782604997.8719177
14,1782604997.9043734
15,1782604997.9377608
16,1782604997.9711432
17,1782604998.0048587
18,1782604998.0375254
19,1782604998.072096
20,1782604998.1042447
21,1782604998.138593
22,1782604998.172
23,1782604998.205215
24,1782604998.2378542
25,1782604998.2718968
26,1782604998.3054569
27,1782604998.3381865
28,1782604998.3719442
29,1782604998.404781
30,1782604998.4377186
31,1782604998.4715917
32,1782604998.5043252
33,1782604998.5383778
34,1782604998.5714417
35,1782604998.6049151
36,1782604998.6379392
37,1782604998.6711493
38,1782604998.704897
39,1782604998.7379553
40,1782604998.77141
41,1782604998.8042681
42,1782604998.837614
43,1782604998.8710349
44,1782604998.9047492
45,1782604998.9378798
46,1782604998.9714427
47,1782604999.005619
48,1782604999.038179
49,1782604999.071032
50,1782604999.1046748
51,1782604999.1375475
52,1782604999.1717358
53,1782604999.205099
54,1782604999.237969
55,1782604999.272256
56,1782604999.3051765
57,1782604999.338161
58,1782604999.3716242
59,1782604999.404397
60,1782604999.4383793
61,1782604999.472156
62,1782604999.5043564
63,1782604999.5387185
64,1782604999.5721526
65,1782604999.6047382
66,1782604999.6391585
67,1782604999.672069
68,1782604999.7041528
69,1782604999.7379925
70,1782604999.7711706
71,1782604999.8053133
72,1782604999.8382246
73,1782604999.871973
74,1782604999.904442
75,1782604999.9395738
76,1782604999.9721222
77,1782605000.0046344
78,1782605000.0391684
79,1782605000.0721672
80,1782605000.1049564
81,1782605000.1379738
82,1782605000.1718562
83,1782605000.2047458
84,1782605000.2389555
85,1782605000.2723594
86,1782605000.3050857
87,1782605000.3388562
88,1782605000.3719869
89,1782605000.4042785
90,1782605000.438241
91,1782605000.4729497
92,1782605000.5052845
93,1782605000.5385227
94,1782605000.5721633
95,1782605000.6049237
96,1782605000.6382434
97,1782605000.6719737
98,1782605000.7046735
99,1782605000.7382584
100,1782605000.7718527
101,1782605000.8042707
102,1782605000.8382432
103,1782605000.8715844
104,1782605000.9042382
105,1782605000.9383786
106,1782605000.9729679
107,1782605001.0047836
108,1782605001.0386157
109,1782605001.0713105
110,1782605001.1051364
111,1782605001.1375291
112,1782605001.1721454
113,1782605001.204945
114,1782605001.2382312
115,1782605001.272206
116,1782605001.3045108
117,1782605001.3385267
118,1782605001.3723445
119,1782605001.4044182
120,1782605001.4375372
121,1782605001.4720168
122,1782605001.5047836
123,1782605001.5381527
124,1782605001.5719419
125,1782605001.604197
126,1782605001.6380234
127,1782605001.6714077
128,1782605001.704104
129,1782605001.7389219
130,1782605001.7713375
131,1782605001.8047056
132,1782605001.8378751
133,1782605001.8717308
134,1782605001.9052358
135,1782605001.9381814
136,1782605001.9709404
137,1782605002.0037808
138,1782605002.0383518
139,1782605002.071727
140,1782605002.1049273
141,1782605002.137721
142,1782605002.1717353
143,1782605002.2045388
144,1782605002.2379494
145,1782605002.2717159
146,1782605002.3049078
147,1782605002.338617
148,1782605002.3713872
149,1782605002.404391
150,1782605002.4377735
151,1782605002.470904
152,1782605002.505247
153,1782605002.5375113
154,1782605002.5721507
155,1782605002.6053855
156,1782605002.6377392
157,1782605002.6717844
158,1782605002.7044818
159,1782605002.7377553
160,1782605002.7716455
161,1782605002.8042648
162,1782605002.8379047
163,1782605002.8711398
164,1782605002.9042532
165,1782605002.9376805
166,1782605002.9722397
167,1782605003.004891
168,1782605003.0379086
169,1782605003.072126
170,1782605003.104531
171,1782605003.1386907
172,1782605003.1714015
173,1782605003.2041216
174,1782605003.23815
175,1782605003.2713182
176,1782605003.3045294
177,1782605003.3373978
178,1782605003.371
179,1782605003.4047573
180,1782605003.437722
181,1782605003.4725444
182,1782605003.5043497
183,1782605003.5382423
184,1782605003.571541
185,1782605003.604913
186,1782605003.6390872
187,1782605003.6714945
188,1782605003.7047153
189,1782605003.737882
190,1782605003.7713885
191,1782605003.8044584
192,1782605003.8383482
193,1782605003.8716905
194,1782605003.9046838
195,1782605003.9374971
196,1782605003.9715505
197,1782605004.0047605
198,1782605004.0379481
199,1782605004.0717897
200,1782605004.1056983
201,1782605004.1375535
202,1782605004.1712883
203,1782605004.2055097
204,1782605004.2381184
205,1782605004.2716796
206,1782605004.3045511
207,1782605004.338197
208,1782605004.3715127
209,1782605004.4058638
210,1782605004.4387164
211,1782605004.4719152
212,1782605004.5049512
213,1782605004.5382917
214,1782605004.5715723
215,1782605004.604944
216,1782605004.6380877
217,1782605004.671516
218,1782605004.7044299
219,1782605004.7374315
220,1782605004.7712004
221,1782605004.8047101
222,1782605004.8388388
223,1782605004.8714814
224,1782605004.904384
225,1782605004.938536
226,1782605004.9711692
227,1782605005.0046268
228,1782605005.0389748
229,1782605005.0720892
230,1782605005.1051803
231,1782605005.1387823
232,1782605005.171021
233,1782605005.205426
234,1782605005.2385397
235,1782605005.2714036
236,1782605005.3054338
237,1782605005.3381357
238,1782605005.3715012
239,1782605005.4048114
240,1782605005.438015
241,1782605005.4712496
242,1782605005.5047045
243,1782605005.5383275
244,1782605005.570931
245,1782605005.6049259
246,1782605005.6378725
247,1782605005.671614
248,1782605005.705312
249,1782605005.738127
250,1782605005.7718637
251,1782605005.805113
252,1782605005.8380003
253,1782605005.871343
254,1782605005.9045517
255,1782605005.9377675
256,1782605005.9718964
257,1782605006.0047307
258,1782605006.0379899
259,1782605006.0720696
260,1782605006.1046288
261,1782605006.138251
262,1782605006.171507
263,1782605006.2044466
264,1782605006.2381783
265,1782605006.271297
266,1782605006.3045683
267,1782605006.3387702
268,1782605006.3718805
269,1782605006.4054363
270,1782605006.4386709
271,1782605006.4712338
272,1782605006.5046875
273,1782605006.5377212
274,1782605006.5718775
275,1782605006.6037729
276,1782605006.6381204
277,1782605006.6714644
