ux,uy,uz,theta_x,theta_y,theta_z
2.715940433153187384e-03,1.286897342606880754e-02,7.206451637753900690e-04,5.075472911814321586e-02,4.317879417115731699e-02,5.138434203841510395e-02
1.286897342606880754e-02,1.206766627064842327e-02,1.246771037247762157e-02,-6.721007801081706201e-02,-6.249991724368228474e-04,-3.607627929062966893e-02
7.206451637753900690e-04,1.246771037247762157e-02,-2.915570897827026928e-02,-1.083227682074187036e-02,-1.867780348704149718e-02,-7.020785878631513773e-03
5.075472911814321586e-02,-6.721007801081706201e-02,-1.083227682074187036e-02,9.975629601858061690e+00,-2.950395423642981352e-01,-2.106224961434006726e-01
4.317879417115731699e-02,-6.249991724368228474e-04,-1.867780348704149718e-02,-2.950395423642981352e-01,-2.161850059355247211e+00,1.831965337668302052e+00
5.138434203841510395e-02,-3.607627929062966893e-02,-7.020785878631513773e-03,-2.106224961434006726e-01,1.831965337668302052e+00,-8.221464212386988546e-01
