local_ns,elapsed_s,bota_timestamp,fx,fy,fz,tx,ty,tz,bota_temperature,bota_status,force_zero_fx,force_zero_fy,force_zero_fz,torque_zero_tx,torque_zero_ty,torque_zero_tz,opti_local_ns,opti_dt_ms,opti_frame,opti_timestamp,opti_rigid_id,opti_seen,opti_px,opti_py,opti_pz,opti_qx,opti_qy,opti_qz,opti_qw,origin_frame,origin_px,origin_py,origin_pz,origin_qx,origin_qy,origin_qz,origin_qw,deflection_x_m,deflection_y_m,deflection_z_m,deflection_norm_m,rel_qx,rel_qy,rel_qz,rel_qw,reorientation_angle_deg
103658156065096,0.000019105,5534473,0.0775994062423706,-0.08546775579452515,-0.000762939453125,-0.0022957883775234222,-0.0030745677649974823,-0.0006465911865234375,33.342742919921875,0,-0.02276754379272461,0.04600030183792114,-0.0054779052734375,0.0017413608729839325,0.0007330067455768585,0.00041544437408447266,103658149726489,6.339,1467531,12229.425,34,True,0.26462772488594055,1.1305383443832397,-5.215765953063965,0.7200162410736084,0.06128886342048645,-0.690834641456604,-0.023828627541661263,1467531,0.26462772488594055,1.1305383443832397,-5.215765953063965,0.7200162347676567,0.06128886288371438,-0.6908346354062268,-0.02382862733296851,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0
103658256970746,0.100924755,5535472,-0.0139923095703125,-0.033363282680511475,-0.0011444091796875,-0.0016587376594543457,-0.0005381107330322266,-0.00016760826110839844,33.342742919921875,0,-0.02276754379272461,0.04600030183792114,-0.0054779052734375,0.0017413608729839325,0.0007330067455768585,0.00041544437408447266,103658256687191,0.284,1467544,12229.533333333333,34,True,0.26469874382019043,1.1302897930145264,-5.215791702270508,0.7196651697158813,0.06355038285255432,-0.6910766363143921,-0.021367859095335007,1467531,0.26462772488594055,1.1305383443832397,-5.215765953063965,0.7200162347676567,0.06128886288371438,-0.6908346354062268,-0.02382862733296851,-1.8815680382443252e-06,0.0002533956672446408,-5.7197806533430355e-05,0.00025977777724215555,-0.003310931862828514,-0.000621479049120799,5.5903003998401826e-05,0.9999943241683151,0.3860846945703728
103658357215336,0.201169345,5636511,0.03855860233306885,0.028018712997436523,0.04168701171875,-0.000696871429681778,-0.001530565321445465,-0.00034546852111816406,33.342742919921875,0,-0.02276754379272461,0.04600030183792114,-0.0054779052734375,0.0017413608729839325,0.0007330067455768585,0.00041544437408447266,103658357042445,0.173,1467556,12229.633333333333,34,True,0.2647973299026489,1.1303170919418335,-5.215816974639893,0.7192738652229309,0.061649661511182785,-0.6916080713272095,-0.022863216698169708,1467531,0.26462772488594055,1.1305383443832397,-5.215765953063965,0.7200162347676567,0.06128886288371438,-0.6908346354062268,-0.02382862733296851,3.0238832420813937e-05,0.0002347953404072329,-0.00015581548982017496,0.0002834108426490128,-0.0008792708522263675,-0.0011375072552901602,0.0003800891609971672,0.9999988942455098,0.17041076329715216
103658457906996,0.301861005,5736769,0.014458179473876953,-0.13558930158615112,0.020538330078125,-0.003741711378097534,-0.000890929251909256,-0.0003103017807006836,33.342742919921875,0,-0.02276754379272461,0.04600030183792114,-0.0054779052734375,0.0017413608729839325,0.0007330067455768585,0.00041544437408447266,103658457574449,0.333,1467568,12229.733333333334,34,True,0.26474443078041077,1.1304481029510498,-5.215778827667236,0.7193546891212463,0.06279382854700089,-0.6914413571357727,-0.02224074676632881,1467531,0.26462772488594055,1.1305383443832397,-5.215765953063965,0.7200162347676567,0.06128886288371438,-0.6908346354062268,-0.02382862733296851,6.2675609093909535e-06,9.745089594087649e-05,-0.00011132644725199116,0.00014808624952095597,-0.0021300331454814155,-0.0010270487830750798,-1.2724852215333444e-05,0.9999972039799284,0.27098039372770794
103658558176559,0.402130568,5837490,-0.07513761520385742,-0.10994309186935425,0.01995849609375,-0.003424018621444702,0.0009136013686656952,-0.00031495094299316406,33.342742919921875,0,-0.02276754379272461,0.04600030183792114,-0.0054779052734375,0.0017413608729839325,0.0007330067455768585,0.00041544437408447266,103658557260242,0.916,1467580,12229.833333333334,34,True,0.264716774225235,1.1302176713943481,-5.215819358825684,0.7195360660552979,0.06161918118596077,-0.6913415193557739,-0.022755537182092667,1467531,0.26462772488594055,1.1305383443832397,-5.215765953063965,0.7200162347676567,0.06128886288371438,-0.6908346354062268,-0.02382862733296851,1.749611479305452e-05,0.00032918225768190616,-7.032818220883928e-05,0.0003370654625116734,-0.0009583295590450542,-0.0007703213628896256,0.0004861426609605591,0.9999991259370017,0.15150920709118226
103658658323433,0.502277442,5937723,-0.016021251678466797,-0.083232581615448,0.1062469482421875,-0.002671152353286743,0.00019459053874015808,-0.0006465911865234375,33.342742919921875,0,-0.02276754379272461,0.04600030183792114,-0.0054779052734375,0.0017413608729839325,0.0007330067455768585,0.00041544437408447266,103658657720516,0.603,1467592,12229.933333333332,34,True,0.2646796703338623,1.130488634109497,-5.215742111206055,0.7192792296409607,0.06400500982999802,-0.6914294958114624,-0.02158675715327263,1467531,0.26462772488594055,1.1305383443832397,-5.215765953063965,0.7200162347676567,0.06128886288371438,-0.6908346354062268,-0.02382862733296851,-2.7699762506114598e-05,4.931769044538919e-05,-5.038217571928592e-05,7.574876278838743e-05,-0.0034365711945776737,-0.0011395815518659427,-0.0004379038311577971,0.9999933497641602,0.4179134900081118
103658758469181,0.602423190,6037880,-0.04547119140625,-0.0561789870262146,0.0634307861328125,-0.0019287467002868652,0.0005557537078857422,-6.67572021484375e-06,33.342742919921875,0,-0.02276754379272461,0.04600030183792114,-0.0054779052734375,0.0017413608729839325,0.0007330067455768585,0.00041544437408447266,103658757392901,1.076,1467604,12230.033333333333,34,True,0.2647077441215515,1.1303602457046509,-5.2158050537109375,0.7196660041809082,0.061284009367227554,-0.6912322044372559,-0.02287362329661846,1467531,0.26462772488594055,1.1305383443832397,-5.215765953063965,0.7200162347676567,0.06128886288371438,-0.6908346354062268,-0.02382862733296851,2.0241168445920493e-05,0.00018563905255056012,-6.913403824902606e-05,0.00019912578430867148,-0.0006515533487437553,-0.0005866230204840672,0.0006512527493652623,0.9999994036105833,0.12515050647793086
103658858650110,0.702604119,6137960,0.029876351356506348,-0.008838832378387451,0.0633392333984375,-0.0013539530336856842,-0.0010718479752540588,-0.00017821788787841797,33.342742919921875,0,-0.02276754379272461,0.04600030183792114,-0.0054779052734375,0.0017413608729839325,0.0007330067455768585,0.00041544437408447266,103658855827563,2.823,1467616,12230.133333333333,34,True,0.2646145522594452,1.130272388458252,-5.215776443481445,0.7203406095504761,0.059679064899683,-0.6906200647354126,-0.024325937032699585,1467531,0.26462772488594055,1.1305383443832397,-5.215765953063965,0.7200162347676567,0.06128886288371438,-0.6908346354062268,-0.02382862733296851,-2.232371360124652e-05,0.00026417527356681564,2.700365958089799e-05,0.00026648850065962205,0.0014492950557074488,0.00044742252141177774,0.0008302895511587416,0.9999985049869775,0.19814821657458853
103658958856426,0.802810435,6237847,-0.0605316162109375,-0.08536523580551147,0.0199432373046875,-0.0031257271766662598,0.0007357597351074219,-0.00015854835510253906,33.342742919921875,0,-0.02276754379272461,0.04600030183792114,-0.0054779052734375,0.0017413608729839325,0.0007330067455768585,0.00041544437408447266,103658957085377,1.771,1467628,12230.233333333334,34,True,0.26466861367225647,1.130475640296936,-5.215762615203857,0.719875156879425,0.06185058131814003,-0.6909610629081726,-0.022958040237426758,1467531,0.26462772488594055,1.1305383443832397,-5.215765953063965,0.7200162347676567,0.06128886288371438,-0.6908346354062268,-0.02382862733296851,-9.356340797342727e-06,6.40271843551336e-05,-3.7786441299842765e-05,7.493221333758098e-05,-0.0010037811031812923,-0.0002552336180287052,0.00019135141725834528,0.9999994453318123,0.12069360934546454
103659059077965,0.903031974,6338458,-0.04561269283294678,-0.03409212827682495,0.04150390625,-0.0020803548395633698,0.0005564913153648376,-9.298324584960938e-06,33.342742919921875,0,-0.02276754379272461,0.04600030183792114,-0.0054779052734375,0.0017413608729839325,0.0007330067455768585,0.00041544437408447266,103659058481081,0.597,1467640,12230.333333333334,34,True,0.2647177278995514,1.130326747894287,-5.215798854827881,0.7194427251815796,0.06245728209614754,-0.6913890242576599,-0.021969057619571686,1467531,0.26462772488594055,1.1305383443832397,-5.215765953063965,0.7200162347676567,0.06128886288371438,-0.6908346354062268,-0.02382862733296851,1.0412376439574653e-05,0.00021866197863721707,-7.768310099525755e-05,0.00023228461564404467,-0.002098460857859655,-0.0009371819190606147,0.00042143490228933883,0.9999972702686252,0.26774889083695297
