ux,uy,uz,theta_x,theta_y,theta_z
3.863152647233184921e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.348940323445300460e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.111577973451960605e-02
0.000000000000000000e+00,0.000000000000000000e+00,1.754480993538048289e-02,0.000000000000000000e+00,-1.149451939302613759e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.069429119320109756e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.149451939302613759e-02,0.000000000000000000e+00,9.025463456598391276e-02,0.000000000000000000e+00
0.000000000000000000e+00,2.111577973451960605e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.662340863110912226e-02
