horizon,lookahead_s,converged,stop_reason,num_steps,total_time_s,total_distance_m,initial_fov_margin_deg,min_fov_margin_deg,final_fov_margin_deg,final_pos_error_m,final_yaw_error_deg,mean_solve_ms,max_solve_ms,total_solve_s,control_effort,smoothness,max_xy_speed_mps,max_yaw_rate_radps
5,1.0,True,converged,42,8.4,4.466320301258488,6.699244233993627,6.699244233993627,34.999209524034626,0.09259633546404895,0.0002180789601166062,16.928737071880494,31.11933299805969,0.7110069570189808,2.8114549161183953,1.0978687541422396,0.7071067811865481,0.5301274036231715
10,2.0,True,converged,48,9.600000000000001,4.3917057968843105,6.699244233993627,6.699244233993627,34.97386045584702,0.0913297054773847,0.02301783092898874,30.026747372782363,42.85241599427536,1.4412838738935534,2.472330192560747,0.6641715130897347,0.7071067811865497,0.28566933475636647
15,3.0,True,converged,57,11.4,4.275627987201798,6.699244233993627,6.699244233993627,34.78299292704496,0.09979511184682253,0.3439151053335985,45.27817914066346,78.17799999611452,2.5808562110178173,2.160795246039319,0.4595045830528271,0.6326299737706328,0.1970551002223754
20,4.0,True,converged,70,14.0,4.200234757447574,6.699244233993627,6.699244233993627,34.485842755249735,0.09834765191270294,0.6920530752452406,57.76327081590093,80.69745899410918,4.043428957113065,1.913610578515034,0.339949270885276,0.5784310762256059,0.15227861092177863
25,5.0,True,converged,85,17.0,4.178757259550288,6.699244233993627,6.699244233993627,34.320259651871346,0.09802165821834043,0.9104734836300121,71.35934895486571,81.80991699919105,6.065544661163585,1.7224897500612582,0.3070664651479475,0.5538359496797808,0.12471575391390961
30,6.0,True,converged,101,20.200000000000003,4.173443276191141,6.699244233993627,6.699244233993627,34.22410339650261,0.0991684736816329,1.0388382276373083,85.11023351543417,99.09966599661857,8.596133585058851,1.5533652148976413,0.2888180101914116,0.5393440389864976,0.10588093261146485
35,7.0,True,converged,118,23.6,4.174367641024822,6.699244233993627,6.699244233993627,34.17797624729407,0.09980537301626385,1.1004524089226062,99.8789558818039,111.22933300794102,11.78571679405286,1.3968421226911152,0.2775124722534723,0.52753695121454,0.0922977593423241
40,8.0,True,converged,138,27.6,4.175798872783334,6.699244233993627,6.699244233993627,34.208512703318846,0.09743829816369243,1.0550895620065122,116.14591394976267,156.79966699099168,16.02813612506725,1.1968614586653998,0.15959557476184066,0.45197723980253984,0.0818118665241967
45,9.0,True,converged,157,31.400000000000002,4.172513407053163,6.699244233993627,6.699244233993627,34.21766589542813,0.09948846560560208,1.047981973253694,128.64990606955934,140.50737500656396,20.198035252920818,1.0460545785725983,0.08715374547131444,0.40022758290067273,0.07358096225635634
50,10.0,True,converged,176,35.2,4.173016771853889,6.699244233993627,6.699244233993627,34.22083292325106,0.09898510080487642,1.0426796778174676,148.06254375550702,265.12758299941197,26.059007700969232,0.9415808148382917,0.07023330548655654,0.36357659871941406,0.06684275929654493
