frame_index,stamp_sec
0,1784750683.3820682
1,1784750683.4381785
2,1784750683.46738
3,1784750683.4965494
4,1784750683.5239136
5,1784750683.5518553
6,1784750683.5810742
7,1784750683.614091
8,1784750683.6641295
9,1784750683.6996596
10,1784750683.753044
11,1784750683.790766
12,1784750683.8777647
13,1784750683.9126406
14,1784750683.9405704
15,1784750683.9951115
16,1784750684.038576
17,1784750684.101394
18,1784750684.1985004
19,1784750684.270109
20,1784750684.2987247
21,1784750684.326192
22,1784750684.381951
23,1784750684.4279494
24,1784750684.5192914
25,1784750684.552723
26,1784750684.6058578
27,1784750684.6332073
28,1784750684.669374
29,1784750684.7557204
30,1784750684.7889514
31,1784750684.827162
32,1784750684.9271393
33,1784750684.9623423
34,1784750684.9891317
35,1784750685.0417976
36,1784750685.1003723
37,1784750685.1304417
38,1784750685.1808965
39,1784750685.2146094
40,1784750685.2482333
41,1784750685.282135
42,1784750685.3394663
43,1784750685.3799891
44,1784750685.406858
45,1784750685.434171
46,1784750685.4806223
47,1784750685.513788
48,1784750685.5475812
49,1784750685.5920093
50,1784750685.6238537
51,1784750685.652182
52,1784750685.721451
53,1784750685.7680547
54,1784750685.7982275
55,1784750685.8265164
56,1784750685.8538759
57,1784750685.8995326
58,1784750685.951853
59,1784750686.019496
60,1784750686.0680175
61,1784750686.098833
62,1784750686.1549404
63,1784750686.236541
64,1784750686.274171
65,1784750686.302668
66,1784750686.3564608
67,1784750686.4373696
68,1784750686.538378
69,1784750686.638849
70,1784750686.7362127
71,1784750686.8043659
72,1784750686.8331797
73,1784750686.8621686
74,1784750686.9203064
75,1784750687.0188043
76,1784750687.069479
77,1784750687.1227984
78,1784750687.1751628
79,1784750687.202288
80,1784750687.250415
81,1784750687.2810273
82,1784750687.314604
83,1784750687.3475485
84,1784750687.3887434
85,1784750687.421214
86,1784750687.4503624
87,1784750687.5299237
88,1784750687.6334093
89,1784750687.7347853
90,1784750687.846014
91,1784750687.9510782
92,1784750688.0521696
93,1784750688.1519835
94,1784750688.264504
95,1784750688.369077
96,1784750688.474107
97,1784750688.5874057
98,1784750688.6950777
99,1784750688.7950861
100,1784750688.891453
101,1784750688.9880378
102,1784750689.0962825
103,1784750689.196837
104,1784750689.295383
105,1784750689.3936899
106,1784750689.4854612
107,1784750689.5763402
108,1784750689.668183
109,1784750689.7606246
110,1784750689.8513782
111,1784750689.9400802
112,1784750690.0437162
113,1784750690.1477191
114,1784750690.2426772
115,1784750690.3438575
116,1784750690.4405642
117,1784750690.534048
118,1784750690.6311111
119,1784750690.7339823
120,1784750690.8237283
121,1784750690.9186077
122,1784750691.0156941
123,1784750691.115018
124,1784750691.2139673
125,1784750691.3112922
126,1784750691.4109015
127,1784750691.494993
128,1784750691.574077
129,1784750691.670174
130,1784750691.7670686
131,1784750691.8657012
